stageNumber,stageTitle,learningCardNumber,learningCardId,learningCardTitle,primaryLearningObjective,exerciseExists,exerciseId,exerciseTitle,exerciseType,exercisePrompt,learnerAction,itemsChoicesNodesSteps,correctOrTargetBehavior,feedbackBehavior,progressStored,randomizationUsed,fixedOrderRequired,supportsLearningObjective,duplicatesCheckpoint,duplicatesVisualAid,mobileUsabilityNotes,recommendation,priorityBefore,priorityAfter,fixApplied,rubricScores,rubricAverage,exerciseIssues,manualReviewNotes,screenshot320,screenshot390,screenshotDesktop
2,Morning Commute,11,tokens,Tokenization,Tokenization splits text into chunks that can be represented as token IDs. Practice boundary: Tokens are always whole words or human concepts.,true,tokenization-split,Split the sentence,token labeling,"Tap once for token pieces, then show uneven chunks and punctuation.",Reveal token pieces and uneven chunks.,A | jealous | dog | chased | start|led | floor|.,Notice tokens can be uneven and include punctuation.,Token boundary feedback.,"No. Journey progress is stored after checkpoint/reflection flow, not by the micro-interaction.",No. Exercise controls use fixed order; checkpoint answers remain randomized elsewhere.,The sentence order makes token boundaries readable.,Yes. It practices the lesson mechanism or misconception boundary.,No. It gives practice or reveal before checkpoint reasoning.,No serious duplicate; it adds a learner action.,320px no horizontal overflow; 390px no horizontal overflow; bottom nav does not cover controls after scroll,keep,P3,P3,,"{""objectiveFit"":5,""fiveSecondClarity"":5,""mechanicSimplicity"":5,""misconceptionValue"":4,""feedbackQuality"":5,""mobileUsability"":5,""redundancy"":5,""cognitiveLoad"":5,""replayReviewValue"":4}",4.8,,,screenshots/v0-28-10/11-tokens-320.png,screenshots/v0-28-10/11-tokens-390.png,
2,Morning Commute,12,token-ids,Token IDs,A token ID is the number assigned to a token so the model can look up its learned starting vector. Practice boundary: The token ID is the meaning.,true,token-id-lookup,Match token to ID,token labeling,"Match dog, cat, and floor to their lookup numbers and table rows.",Match token text to token IDs and table rows.,dog | cat | floor | ID rows,Reveal lookup relationship without treating IDs as meaning.,ID-is-not-meaning feedback.,"No. Journey progress is stored after checkpoint/reflection flow, not by the micro-interaction.",No. Exercise controls use fixed order; checkpoint answers remain randomized elsewhere.,Stable rows teach lookup rather than memory.,Yes. It practices the lesson mechanism or misconception boundary.,No. It gives practice or reveal before checkpoint reasoning.,No serious duplicate; it adds a learner action.,320px no horizontal overflow; 390px no horizontal overflow; bottom nav does not cover controls after scroll,keep,P3,P3,,"{""objectiveFit"":5,""fiveSecondClarity"":5,""mechanicSimplicity"":5,""misconceptionValue"":4,""feedbackQuality"":5,""mobileUsability"":5,""redundancy"":5,""cognitiveLoad"":5,""replayReviewValue"":4}",4.8,,,screenshots/v0-28-10/12-token-ids-320.png,screenshots/v0-28-10/12-token-ids-390.png,
2,Morning Commute,13,embeddings,Embeddings,An embedding is a learned starting vector retrieved for a token ID. Practice boundary: An embedding is a dictionary definition or a human memory.,true,embedding-lookup,Look up a starting vector,tap-to-cycle,Tap a token ID to retrieve its embedding row and notice what is durable versus temporary.,Tap a token ID to retrieve its embedding row.,token ID | embedding table row | starting vector,Show the starting vector before context reshapes it.,Durable embedding versus temporary hidden-state feedback.,"No. Journey progress is stored after checkpoint/reflection flow, not by the micro-interaction.",No. Exercise controls use fixed order; checkpoint answers remain randomized elsewhere.,Lookup order matches the data path.,Yes. It practices the lesson mechanism or misconception boundary.,No. It gives practice or reveal before checkpoint reasoning.,No serious duplicate; it adds a learner action.,320px no horizontal overflow; 390px no horizontal overflow; bottom nav does not cover controls after scroll,keep,P3,P3,,"{""objectiveFit"":5,""fiveSecondClarity"":5,""mechanicSimplicity"":5,""misconceptionValue"":4,""feedbackQuality"":5,""mobileUsability"":5,""redundancy"":5,""cognitiveLoad"":5,""replayReviewValue"":4}",4.8,,,screenshots/v0-28-10/13-embeddings-320.png,screenshots/v0-28-10/13-embeddings-390.png,
2,Morning Commute,14,vectors,Vectors,"A vector is a list of numbers that represents features of something, such as a token. Practice boundary: Each vector dimension has a simple human-readable label.",true,vector-distribution,Toggle vector views,comparison toggle,Compare a simplified teaching view with the messier distributed view real models use.,Switch between teaching sliders and distributed feature bars.,teaching view | distributed view,Reveal why real vector dimensions are distributed.,Dimension-label limit feedback.,"No. Journey progress is stored after checkpoint/reflection flow, not by the micro-interaction.",No. Exercise controls use fixed order; checkpoint answers remain randomized elsewhere.,Two-state comparison keeps the abstraction manageable.,Yes. It practices the lesson mechanism or misconception boundary.,No. It gives practice or reveal before checkpoint reasoning.,Watch during human testing; it may reinforce the visual closely.,320px no horizontal overflow; 390px no horizontal overflow; bottom nav does not cover controls after scroll,keep,P2,P2,,"{""objectiveFit"":4,""fiveSecondClarity"":4,""mechanicSimplicity"":5,""misconceptionValue"":5,""feedbackQuality"":4,""mobileUsability"":4,""redundancy"":5,""cognitiveLoad"":4,""replayReviewValue"":3}",4.2,,"Watch in human testing for abstraction level, redundancy, or replay value.",screenshots/v0-28-10/14-vectors-320.png,screenshots/v0-28-10/14-vectors-390.png,
2,Morning Commute,15,tensors,Tensors,"A tensor is an organized block of numbers, often holding many token vectors at once. Practice boundary: A tensor is one word, one number, or a mysterious object.",true,tensor-axis,Inspect the axes,tap-to-cycle,"Tap token axis, feature axis, and batch note to see how vectors become a shaped block.","Inspect token axis, feature axis, and batch note.",token axis | feature axis | batch note,See vectors as a shaped numerical block.,Axis-specific explanation.,"No. Journey progress is stored after checkpoint/reflection flow, not by the micro-interaction.",No. Exercise controls use fixed order; checkpoint answers remain randomized elsewhere.,Axis order follows the tensor teaching diagram.,Yes. It practices the lesson mechanism or misconception boundary.,No. It gives practice or reveal before checkpoint reasoning.,Watch during human testing; it may reinforce the visual closely.,320px no horizontal overflow; 390px no horizontal overflow; bottom nav does not cover controls after scroll,keep,P2,P2,,"{""objectiveFit"":4,""fiveSecondClarity"":4,""mechanicSimplicity"":5,""misconceptionValue"":4,""feedbackQuality"":4,""mobileUsability"":4,""redundancy"":5,""cognitiveLoad"":4,""replayReviewValue"":3}",4.1,,"Watch in human testing for abstraction level, redundancy, or replay value. | Uses “batch note” as a legitimate tensor concept, not implementation-process language.",screenshots/v0-28-10/15-tensors-320.png,screenshots/v0-28-10/15-tensors-390.png,
3,Workday,16,attention,Attention,Attention is a mechanism that assigns relevance weights between token positions in the current context. Practice boundary: Attention means consciousness or awareness.,true,attention-relevance-connect,Connect the pronoun,connect node,"Choose which earlier token helps interpret “it.” Attention is relevance, not awareness.",Connect the pronoun token to the most relevant source token.,dog | cat | it,Select cat as the likely referent.,Relevance-not-awareness feedback.,"No. Journey progress is stored after checkpoint/reflection flow, not by the micro-interaction.",No. Exercise controls use fixed order; checkpoint answers remain randomized elsewhere.,Fixed sentence order preserves the pronoun example.,Yes. It practices the lesson mechanism or misconception boundary.,No. It gives practice or reveal before checkpoint reasoning.,No serious duplicate; it adds a learner action.,320px no horizontal overflow; 390px no horizontal overflow; bottom nav does not cover controls after scroll,keep,P3,P3,,"{""objectiveFit"":5,""fiveSecondClarity"":5,""mechanicSimplicity"":5,""misconceptionValue"":5,""feedbackQuality"":5,""mobileUsability"":5,""redundancy"":5,""cognitiveLoad"":5,""replayReviewValue"":4}",4.9,,,screenshots/v0-28-10/16-attention-320.png,screenshots/v0-28-10/16-attention-390.png,
3,Workday,17,mlp,MLP,"An MLP, or multi-layer perceptron, is a feed-forward network that reshapes each token’s feature vector inside a transformer layer. Practice boundary: The MLP mixes information between different token positions.",true,mlp-feature-toggle,Before and after MLP,comparison toggle,Toggle the same token position before and after the MLP. The feature vector changes; the token ID and weights do not.,Toggle the same token before and after the MLP.,before MLP | after MLP,Notice feature reshaping without changing the token ID or weights.,Feature reshaping feedback.,"No. Journey progress is stored after checkpoint/reflection flow, not by the micro-interaction.",No. Exercise controls use fixed order; checkpoint answers remain randomized elsewhere.,Before/after comparison is the lesson point.,Yes. It practices the lesson mechanism or misconception boundary.,No. It gives practice or reveal before checkpoint reasoning.,No serious duplicate; it adds a learner action.,320px no horizontal overflow; 390px no horizontal overflow; bottom nav does not cover controls after scroll,keep,P3,P3,,"{""objectiveFit"":5,""fiveSecondClarity"":5,""mechanicSimplicity"":5,""misconceptionValue"":5,""feedbackQuality"":5,""mobileUsability"":5,""redundancy"":5,""cognitiveLoad"":5,""replayReviewValue"":4}",4.9,,,screenshots/v0-28-10/17-mlp-320.png,screenshots/v0-28-10/17-mlp-390.png,
3,Workday,18,layers,Layers,"A layer is a repeated transformer block that refines hidden states through attention, MLPs, residual paths, and normalization. Practice boundary: Each layer is a human-like thought or reasoning step.",true,layers-stack-inspect,Inspect the stack,tap-to-cycle,Tap a layer to watch the same hidden-state ribbon move forward through repeated attention and MLP blocks.,Tap layers in a transformer stack.,layer 1 | layer 2 | layer 3 | layer 4,Inspect repeated attention and MLP blocks.,Repeated numerical transformation feedback.,"No. Journey progress is stored after checkpoint/reflection flow, not by the micro-interaction.",No. Exercise controls use fixed order; checkpoint answers remain randomized elsewhere.,Layer order is sequential.,Yes. It practices the lesson mechanism or misconception boundary.,No. It gives practice or reveal before checkpoint reasoning.,No serious duplicate; it adds a learner action.,320px no horizontal overflow; 390px no horizontal overflow; bottom nav does not cover controls after scroll,keep,P3,P3,,"{""objectiveFit"":5,""fiveSecondClarity"":5,""mechanicSimplicity"":5,""misconceptionValue"":4,""feedbackQuality"":5,""mobileUsability"":5,""redundancy"":5,""cognitiveLoad"":5,""replayReviewValue"":4}",4.8,,,screenshots/v0-28-10/18-layers-320.png,screenshots/v0-28-10/18-layers-390.png,
3,Workday,19,hidden-states,Hidden States,"A hidden state is a temporary context-shaped vector for a token at a particular layer. Practice boundary: Hidden states are secret memories, encrypted English, or stored thoughts.",true,hidden-state-sort,Durable or temporary?,sort / group,"Sort model parts by whether they persist as learned parameters, appear temporarily during this run, or sit outside the current forward pass.","Sort durable, temporary, and outside-forward-pass items.",embedding table | weight | hidden state | attention pattern | training data,"Separate learned parameters, temporary run state, and outside material.",Temporary hidden-state feedback.,"No. Journey progress is stored after checkpoint/reflection flow, not by the micro-interaction.",No. Exercise controls use fixed order; checkpoint answers remain randomized elsewhere.,Fixed labels preserve the three-way boundary.,Yes. It practices the lesson mechanism or misconception boundary.,No. It gives practice or reveal before checkpoint reasoning.,No serious duplicate; it adds a learner action.,320px no horizontal overflow; 390px no horizontal overflow; bottom nav does not cover controls after scroll,keep,P1,P3,Changed shared sort feedback from “cards” to “items” so sort/group interactions do not sound like Journey-card navigation.,"{""objectiveFit"":5,""fiveSecondClarity"":4,""mechanicSimplicity"":5,""misconceptionValue"":5,""feedbackQuality"":5,""mobileUsability"":5,""redundancy"":5,""cognitiveLoad"":4,""replayReviewValue"":4}",4.7,,,screenshots/v0-28-10/19-hidden-states-320.png,screenshots/v0-28-10/19-hidden-states-390.png,
4,Decision Room,20,logits,Logits,Logits are raw scores for possible next tokens before they are turned into probabilities. Practice boundary: Logits are probabilities or truth scores.,true,logits-raw-toggle,Raw scores or probabilities?,comparison toggle,"Toggle the display and notice that logits are the before state: raw scores, not probabilities or truth.",Toggle raw scores and probability-ready framing.,raw scores | not probabilities | not truth,Keep logits as raw next-token scores.,Logits-are-not-probabilities feedback.,"No. Journey progress is stored after checkpoint/reflection flow, not by the micro-interaction.",No. Exercise controls use fixed order; checkpoint answers remain randomized elsewhere.,One contrast is enough at this point in the Journey.,Yes. It practices the lesson mechanism or misconception boundary.,No. It gives practice or reveal before checkpoint reasoning.,No serious duplicate; it adds a learner action.,320px no horizontal overflow; 390px no horizontal overflow; bottom nav does not cover controls after scroll,keep,P3,P3,,"{""objectiveFit"":5,""fiveSecondClarity"":5,""mechanicSimplicity"":5,""misconceptionValue"":5,""feedbackQuality"":5,""mobileUsability"":5,""redundancy"":5,""cognitiveLoad"":5,""replayReviewValue"":4}",4.9,,,screenshots/v0-28-10/20-logits-320.png,screenshots/v0-28-10/20-logits-390.png,
4,Decision Room,21,softmax,Softmax,Softmax is a function that turns raw next-token scores into probabilities that sum to one. Practice boundary: Softmax guarantees truth or certainty.,true,softmax-convert,Convert the scores,tap-to-cycle,Tap softmax to turn raw logits into probabilities that sum to 100%. Probability is still not truth.,Convert raw scores into probabilities.,raw logits | softmax | probabilities that sum to 100%,See probabilities emerge from raw scores.,Probability-not-truth feedback.,"No. Journey progress is stored after checkpoint/reflection flow, not by the micro-interaction.",No. Exercise controls use fixed order; checkpoint answers remain randomized elsewhere.,The transform has a natural before/after order.,Yes. It practices the lesson mechanism or misconception boundary.,No. It gives practice or reveal before checkpoint reasoning.,No serious duplicate; it adds a learner action.,320px no horizontal overflow; 390px no horizontal overflow; bottom nav does not cover controls after scroll,keep,P3,P3,,"{""objectiveFit"":5,""fiveSecondClarity"":5,""mechanicSimplicity"":5,""misconceptionValue"":4,""feedbackQuality"":5,""mobileUsability"":5,""redundancy"":5,""cognitiveLoad"":5,""replayReviewValue"":4}",4.8,,,screenshots/v0-28-10/21-softmax-320.png,screenshots/v0-28-10/21-softmax-390.png,
4,Decision Room,22,sampling,Sampling,Sampling is the decoding step that chooses one next token from the probability distribution. Practice boundary: Sampling writes the whole response or permanently teaches the model.,true,sampling-probability-pick,Choose from the probability cloud,single choice,Pick the most likely next token from the local context. Probability is not truth; a likely token can still be unsupported in other situations.,Choose a next token from probability-shaped candidates.,floor | room | quantum,Pick a likely next token while keeping probability separate from truth.,Sampling uncertainty feedback.,"No. Journey progress is stored after checkpoint/reflection flow, not by the micro-interaction.",No. Exercise controls use fixed order; checkpoint answers remain randomized elsewhere.,Fixed candidates keep the example short.,Yes. It practices the lesson mechanism or misconception boundary.,Partial risk: watch during human testing so it does not feel like a second checkpoint.,Watch during human testing; it may reinforce the visual closely.,320px no horizontal overflow; 390px no horizontal overflow; bottom nav does not cover controls after scroll,keep,P2,P2,,"{""objectiveFit"":4,""fiveSecondClarity"":4,""mechanicSimplicity"":5,""misconceptionValue"":5,""feedbackQuality"":4,""mobileUsability"":4,""redundancy"":4,""cognitiveLoad"":4,""replayReviewValue"":3}",4.1,,"Watch in human testing for abstraction level, redundancy, or replay value.",screenshots/v0-28-10/22-sampling-320.png,screenshots/v0-28-10/22-sampling-390.png,
5,The Day Repeats,23,autoregression,Autoregression,"Autoregression is response generation by repeatedly choosing one next token, appending it to the context, and running the model again. Practice boundary: The model writes the whole response at once.",true,autoregression-loop,Tap-step append loop,ordered sequence,"Tap through choose token, append, and run again to see how the response-so-far grows.","Step through choose token, append, and run again.",choose token | append | run again,Complete the append-and-repeat loop.,Append-and-repeat feedback.,"No. Journey progress is stored after checkpoint/reflection flow, not by the micro-interaction.",No. Exercise controls use fixed order; checkpoint answers remain randomized elsewhere.,The sequence is the mechanism.,Yes. It practices the lesson mechanism or misconception boundary.,No. It gives practice or reveal before checkpoint reasoning.,No serious duplicate; it adds a learner action.,320px no horizontal overflow; 390px no horizontal overflow; bottom nav does not cover controls after scroll,keep,P3,P3,,"{""objectiveFit"":5,""fiveSecondClarity"":5,""mechanicSimplicity"":4,""misconceptionValue"":4,""feedbackQuality"":5,""mobileUsability"":5,""redundancy"":5,""cognitiveLoad"":5,""replayReviewValue"":4}",4.7,,,screenshots/v0-28-10/23-autoregression-320.png,screenshots/v0-28-10/23-autoregression-390.png,
