learningCardNumber,stageTitle,learningCardId,learningCardTitle,currentVisualId,currentVisualTitle,currentVisualType,selectedCanonicalTemplate,currentVisualQualityRating,priorityBefore,priority,status,scoreTotal,image2Allowed,mustRemainCodedSvgHtml,mobileRiskNotes,notesForHumanTesters
23,The Day Repeats,autoregression,Autoregression,autoregression,Append and Repeat,coded-svg,Mechanism Flow,keep,P3,P3,keep,33,false,true,Keep loop arrow obvious without crossing text.,Ask whether append-repeat is clear.
24,The Day Repeats,context-window,Context Window,context-window,Temporary Context Window,coded-svg,Context Tray / Stack,keep,P3,P3,keep,34,false,true,Cards must remain readable without many words.,Ask whether context versus memory is repaired.
25,The Day Repeats,rag-retrieval,RAG and Retrieval,rag-retrieval,Open-Book Retrieval,coded-svg,Context Tray / Stack,keep,P3,P3,keep,34,false,true,Keep retriever and model visually separate.,Ask whether RAG is not training.
26,The Day Repeats,grounding,Grounding,grounding-evidence,Claim Support Map,coded-svg,Context Tray / Stack,keep,P2,P3,keep,32,false,true,Avoid too many source-card labels.,Ask whether grounding is helpful but not a truth guarantee.
27,The Day Repeats,hallucinations,Hallucinations,hallucination-bridge,Unsupported Bridge,coded-svg,Comparison Board,keep,P2,P3,keep,32,false,true,Keep bridge metaphor from looking like a guarantee.,Ask whether hallucination differs from lying.
28,Twilight: The Wider Landscape,how-ai-learns,How AI Learns,ai-learns,Learning Modes Matrix,coded-svg,Comparison Board,fixed,P1,P3,fixed,32,false,true,Watch whether learners distinguish evaluation from the four visual modes using callouts.,Ask whether learners can say which modes change weights.
29,Twilight: The Wider Landscape,diffusion,Diffusion vs Autoregression,diffusion,Append Or Denoise,coded-svg,Comparison Board,keep,P3,P3,keep,32,false,true,Avoid image-like details that distract from mechanism contrast.,Ask whether diffusion and autoregression feel distinct.
30,Twilight: The Wider Landscape,multimodal,Multimodal AI,multimodal,Media Lane Map,coded-svg,Taxonomy Map,fixed,P1,P3,fixed,32,false,true,Video and code are explained in callouts rather than added as extra labels.,Ask whether it teaches multimodal without implying human senses.
31,Twilight: The Wider Landscape,perfect-storm,The Perfect Storm,perfect-storm,Storm Front,coded-svg,Taxonomy Map,keep,P2,P3,fixed,32,false,true,Do not put the convergence caption inside the diagram.,"Ask whether convergence, not spark, is obvious."
32,Midnight Ledger,collective-intelligence,"Collective Intelligence, Extracted",collective-intelligence-lantern,Borrowed Flames,coded-svg,Taxonomy Map,fixed,P1,P3,fixed,31,true,false,"Later atmospheric image could improve warmth, but current coded flow is readable.",Ask whether it raises provenance without feeling accusatory or decorative.
33,Midnight Ledger,costs-we-must-count,Costs We Must Count,costs-invisible-factory,Cost Ledger,coded-svg,Taxonomy Map,fixed,P1,P3,fixed,31,true,false,Later atmospheric image could improve tone; no numbers should be added.,Ask whether costs feel countable without fearmongering.
34,Midnight Ledger,risk-myth,Risk vs Myth,risk,Risk Ledger,coded-svg,Taxonomy Map,keep,P2,P3,keep,31,false,true,Avoid listing too many risks inside the visual.,Ask whether risk feels practical rather than spooky.
35,New Dawn,benefits-worth-taking-seriously,Benefits Worth Taking Seriously,benefits-tool-garden,Benefit Tiers,coded-svg,Taxonomy Map,fixed,P1,P3,fixed,31,true,false,"Later atmospheric image could add warmth, but current coded visual is readable.","Ask whether benefits feel bounded, not hype."
36,New Dawn,human-centered-ai,Human-Centered AI,human-centered-ai-garden,Accountability Flow,coded-svg,Taxonomy Map,fixed,P1,P3,fixed,31,true,false,"Later atmospheric image could improve warmth, but current coded flow keeps accountability clear.",Ask whether human responsibility is visually central.
37,New Dawn,better-ai-choice,Better AI Is a Choice,responsible-ai-forked-path,Better-AI Control Panel,coded-svg,Taxonomy Map,fixed,P1,P3,fixed,32,false,true,"Keep mitigation details in callouts, not inside the lever panel.",Ask which lever group they remember after five seconds.
38,New Dawn,effective-prompting-literacy,Effective Prompting from Model Literacy,prompting-context-tray,Context Tray,coded-svg,Context Tray / Stack,keep,P2,P3,keep,33,false,true,Keep card labels short and avoid overpacking the tray.,Ask whether prompting feels temporary.
39,New Dawn,model-literate-synthesis,Model Literate Synthesis,synthesis-map-compass-lantern,Full Chain Map,coded-svg,Taxonomy Map,fixed,P1,P3,fixed,31,false,true,Ask testers if the capstone feels too abstract after simplification.,Ask what one idea they retain from the capstone visual.
