stage_number,stage_title,learning_card_code,card_index,card_title,card_objective,question_number,question_id,question_type,stem,correct_choice_id,correct_choice_text,correct_feedback,choice_1_id,choice_1_text,choice_1_is_correct,choice_1_feedback,choice_2_id,choice_2_text,choice_2_is_correct,choice_2_feedback,choice_3_id,choice_3_text,choice_3_is_correct,choice_3_feedback,choice_4_id,choice_4_text,choice_4_is_correct,choice_4_feedback,flags,suggested_action,priority,review_notes
1,Before Morning,1.4,4,Training,"Trace training as example, prediction, loss, optimizer, weight update, repeat; separate durable training from inference, retrieval, sampling, and prompt changes.",3,V0279-TRAINING-Q3,causal-consequence,"Why can training change how the model behaves tomorrow, while inference usually cannot?",v0279-training-q3-correct,Training changes parameters that future runs reuse; inference uses temporary computations for the current run.,Good distinction. Durable parameters carry forward; inference-time states usually do not.,v0279-training-q3-correct,Training changes parameters that future runs reuse; inference uses temporary computations for the current run.,True,Good distinction. Durable parameters carry forward; inference-time states usually do not.,v0279-training-q3-optimizer-inference,Inference is where the optimizer changes weights for future runs.,False,"Not quite. Optimizer-driven weight updates belong to training, not ordinary inference.",v0279-training-q3-prompt-only,Training only changes the visible prompt text for one response.,False,"Close, but prompt changes are temporary input changes; training changes learned numbers.",v0279-training-q3-truth-guarantee,Training guarantees that every future answer will be true.,False,"This choice overclaims. Training can improve behavior, but it does not guarantee truth.",possible_correct_answer_length_bias,revise,high,Shorten the correct answer or lengthen/tighten distractors so the correct choice is not obviously more complete.
1,Before Morning,1.4,4,Training,"Trace training as example, prediction, loss, optimizer, weight update, repeat; separate durable training from inference, retrieval, sampling, and prompt changes.",4,V0279-TRAINING-Q4,model-trace,"In a training loop, which sequence is the durable learning path?",v0279-training-q4-correct,Example -> prediction -> loss -> weight update.,Insight strengthened. That is the weight-changing path.,v0279-training-q4-correct,Example -> prediction -> loss -> weight update.,True,Insight strengthened. That is the weight-changing path.,v0279-training-q4-generation-loop,Prompt -> response token -> append -> next response token.,False,"Close, but that sequence describes inference/generation, not training.",v0279-training-q4-search-context,Search -> outside passage -> current context -> answer.,False,That describes a search or retrieval step. It can add temporary context; it does not by itself update weights.,v0279-training-q4-user-correction,User correction -> better answer -> permanent learning inside the same chat.,False,"Not quite. A correction can steer the current conversation, but durable learning requires a training process.",,keep,low,
1,Before Morning,1.5,5,Pretraining,"Explain pretraining as broad durable pattern learning from many next-token targets, not perfect recall, live browsing, or a searchable archive.",1,V0279-PRETRAINING-Q1,mechanism,"During pretraining, what signal teaches the model broad language patterns across many examples?",v0279-pretraining-q1-correct,Repeated prediction error/loss from next-token targets changes weights over many training steps.,Good distinction. Pretraining scales the training loop across many examples.,v0279-pretraining-q1-correct,Repeated prediction error/loss from next-token targets changes weights over many training steps.,True,Good distinction. Pretraining scales the training loop across many examples.,v0279-pretraining-q1-live-chat,A user conversation at deployment permanently rewrites the model.,False,Not quite. Pretraining happens before normal use; an ordinary chat usually does not rewrite weights.,v0279-pretraining-q1-written-rules,A human writes every rule the model will follow.,False,"Close, but pretraining is learned from examples, not a complete rulebook written by hand.",v0279-pretraining-q1-perfect-copy,The model stores a perfect copy of every source document.,False,This choice reveals a common mix-up. Pretraining shapes weights; it is not perfect document storage.,possible_correct_answer_length_bias,revise,high,Shorten the correct answer or lengthen/tighten distractors so the correct choice is not obviously more complete.
1,Before Morning,1.5,5,Pretraining,"Explain pretraining as broad durable pattern learning from many next-token targets, not perfect recall, live browsing, or a searchable archive.",2,V0279-PRETRAINING-Q2,boundary,Why can pretraining create broad capability without making the model a perfect library of its sources?,v0279-pretraining-q2-correct,It shapes statistical patterns in weights; it does not create a searchable copy of every source.,Good distinction. Pretraining can shape broad ability without turning the model into a perfect source library.,v0279-pretraining-q2-correct,It shapes statistical patterns in weights; it does not create a searchable copy of every source.,True,Good distinction. Pretraining can shape broad ability without turning the model into a perfect source library.,v0279-pretraining-q2-private-files,It gives the model direct access to every private file on demand.,False,Not quite. Training data exposure is not the same as access to every private file.,v0279-pretraining-q2-search-context,It inserts the original source into every future prompt context.,False,"Close, but adding source text to context is different from pretraining. Pretraining changes weights before use.",v0279-pretraining-q2-after-user-prompt,It happens only after a user asks a specific question.,False,Pretraining happens before deployment. The user prompt later uses the pretrained weights.,possible_correct_answer_length_bias,revise,high,Shorten the correct answer or lengthen/tighten distractors so the correct choice is not obviously more complete.
1,Before Morning,1.5,5,Pretraining,"Explain pretraining as broad durable pattern learning from many next-token targets, not perfect recall, live browsing, or a searchable archive.",3,V0279-PRETRAINING-Q3,causal-consequence,"If pretraining examples include many styles and task shapes, what can change inside the model?",v0279-pretraining-q3-correct,Weights can shift so future prompts activate more useful language/code patterns.,Good distinction. Pretraining changes reusable model structure before later prompts arrive.,v0279-pretraining-q3-correct,Weights can shift so future prompts activate more useful language/code patterns.,True,Good distinction. Pretraining changes reusable model structure before later prompts arrive.,v0279-pretraining-q3-current-context,The model’s current chat context becomes permanently larger.,False,Not quite. Context is temporary input; pretraining changes reusable weights before later prompts arrive.,v0279-pretraining-q3-interface,"Only the app’s buttons, labels, or interface change.",False,"This describes product UI changes, not the model’s learned parameters.",v0279-pretraining-q3-safety-policy,Only a safety policy is added around the model.,False,"Close, but a policy can shape a product around the model; pretraining changes the model’s reusable weights.",possible_correct_answer_length_bias,revise,high,Shorten the correct answer or lengthen/tighten distractors so the correct choice is not obviously more complete.
1,Before Morning,1.5,5,Pretraining,"Explain pretraining as broad durable pattern learning from many next-token targets, not perfect recall, live browsing, or a searchable archive.",4,V02712-PRETRAINING-Q4,boundary,A base model gives fact-like text about a public topic before any retrieval tool is connected. Which pretraining explanation is strongest?,v02712-pretraining-q4-correct,Past training shaped weights with broad patterns; the output is not proof of live search or source lookup.,Good boundary. Pretraining can shape fact-like patterns without turning the model into a search engine.,v02712-pretraining-q4-correct,Past training shaped weights with broad patterns; the output is not proof of live search or source lookup.,True,Good boundary. Pretraining can shape fact-like patterns without turning the model into a search engine.,v02712-pretraining-q4-2-retrieval,The model must have searched the web during the prompt.,False,"Search is a system/tool action, not something pretraining proves.",v02712-pretraining-q4-3-memory,The model opened a stored copy of the original page.,False,Pretraining does not make a perfect searchable library of every source.,v02712-pretraining-q4-4-truth,The model became certain because the text sounded factual.,False,Fluent source-like text is not a truth guarantee.,possible_correct_answer_length_bias|premature_jargon:retrieval,revise,high,Shorten the correct answer or lengthen/tighten distractors so the correct choice is not obviously more complete. Either replace future-stage jargon with plain language or add a brief explanation in the stem/feedback.
1,Before Morning,1.6,6,Overfitting and Generalization,Diagnose overfitting and explain that set-aside validation examples are kept out of training to test transfer beyond examples used to fit weights.,1,V0279-OVERFITTING-GENERALIZATION-Q1,application,A model gets every training example right but fails on new validation examples. What problem is showing up?,v0279-overfitting-generalization-q1-correct,Overfitting: the model fit training examples too narrowly instead of learning patterns that generalize.,"Good diagnosis. Set-aside validation examples are saved for testing, not used to fit the model.",v0279-overfitting-generalization-q1-correct,Overfitting: the model fit training examples too narrowly instead of learning patterns that generalize.,True,"Good diagnosis. Set-aside validation examples are saved for testing, not used to fit the model.",v0279-overfitting-generalization-q1-generalization,Generalization: the model is working well on unseen cases.,False,Not quite. Generalization means good performance on new examples; this scenario shows the opposite.,v0279-overfitting-generalization-q1-better-training,Better training: the model has clearly learned the general rule.,False,"Not quite. If it fails on new validation examples, high training performance is not enough evidence of generalization.",v0279-overfitting-generalization-q1-inference,Inference: the model is simply generating one token at a time.,False,"Close, but inference is normal model use; overfitting is a training/evaluation failure mode.",possible_correct_answer_length_bias,revise,high,Shorten the correct answer or lengthen/tighten distractors so the correct choice is not obviously more complete.
1,Before Morning,1.6,6,Overfitting and Generalization,Diagnose overfitting and explain that set-aside validation examples are kept out of training to test transfer beyond examples used to fit weights.,2,V0279-OVERFITTING-GENERALIZATION-Q2,human-use-judgment,Why do model builders test on set-aside validation examples instead of only training examples?,v0279-overfitting-generalization-q2-correct,They are kept out of training so they can test whether learned patterns transfer.,"Insight strengthened. Set-aside validation examples are saved for testing, not used to fit the model.",v0279-overfitting-generalization-q2-correct,They are kept out of training so they can test whether learned patterns transfer.,True,"Insight strengthened. Set-aside validation examples are saved for testing, not used to fit the model.",v0279-overfitting-generalization-q2-extra-training,Validation data is just extra training data used to lower loss.,False,"Not quite. Validation examples are saved for testing, not used as extra examples to fit the model.",v0279-overfitting-generalization-q2-training-proves-all,Training examples alone prove the model will work everywhere.,False,This choice reveals the exact overfitting risk. Seen examples are not enough evidence.,v0279-overfitting-generalization-q2-loss-truth,A lower loss always proves every future answer is true.,False,"Close, but lower loss is not a truth guarantee, especially outside the tested examples.",,keep,low,
1,Before Morning,1.6,6,Overfitting and Generalization,Diagnose overfitting and explain that set-aside validation examples are kept out of training to test transfer beyond examples used to fit weights.,3,V0279-OVERFITTING-GENERALIZATION-Q3,causal-consequence,A model trained heavily on one narrow answer template works on that template but struggles with varied new prompts. What should a model-literate learner suspect?,v0279-overfitting-generalization-q3-correct,It may have fit the narrow examples too closely instead of learning a pattern that generalizes.,"Good distinction. Targeted training can help, but narrow training can also make behavior brittle.",v0279-overfitting-generalization-q3-correct,It may have fit the narrow examples too closely instead of learning a pattern that generalizes.,True,"Good distinction. Targeted training can help, but narrow training can also make behavior brittle.",v0279-overfitting-generalization-q3-prompt-rewrite,The prompts permanently rewrote the model during inference.,False,"Not quite. The issue is training behavior, not prompts rewriting weights during inference.",v0279-overfitting-generalization-q3-conscious-choice,The model is definitely conscious but choosing not to answer.,False,"That gives the model too much mind. The issue is brittle transfer, not intention.",v0279-overfitting-generalization-q3-rules-always-better,Rule-based AI is always better than learned models.,False,"This overgeneralizes. The issue is narrow training behavior, not proof that rules always beat learned models.",possible_correct_answer_length_bias|possibly_obvious_distractor,revise,high,"Shorten the correct answer or lengthen/tighten distractors so the correct choice is not obviously more complete. Review “definitely/guaranteed/must” distractors; keep only if they represent a real public myth, otherwise make them more plausible."
1,Before Morning,1.7,7,Fine-Tuning,"Distinguish fine-tuning or adapter training as durable post-pretraining adaptation from prompt, RAG, and sampling-time steering.",1,V02712-FINE-TUNING-Q1,application,A team wants a support assistant to follow corporate norms across future conversations. Which move is closest to fine-tuning?,v02712-fine-tuning-q1-correct,Run additional training that changes weights or adapter behavior for later responses.,Insight strengthened. Fine-tuning is durable adaptation for future inference runs.,v02712-fine-tuning-q1-correct,Run additional training that changes weights or adapter behavior for later responses.,True,Insight strengthened. Fine-tuning is durable adaptation for future inference runs.,v02712-fine-tuning-q1-2-prompt,Paste the norms into one user prompt.,False,"A prompt can steer the current run, but it is not durable training.",v02712-fine-tuning-q1-3-rag,Retrieve a policy page into the current context.,False,Retrieval adds temporary evidence; it does not by itself fine-tune weights.,v02712-fine-tuning-q1-4-sampling,Sample from a lower-temperature distribution.,False,"Sampling changes a generation-time choice, not the model pattern carried forward.",possible_correct_answer_length_bias,revise,high,Shorten the correct answer or lengthen/tighten distractors so the correct choice is not obviously more complete.
1,Before Morning,1.7,7,Fine-Tuning,"Distinguish fine-tuning or adapter training as durable post-pretraining adaptation from prompt, RAG, and sampling-time steering.",2,V02710-FINE-TUNING-Q2,application,"A base model is adapted on thousands of institution-specific examples, then later answers new users in that style. What changed most directly?",v02710-fine-tuning-q2-correct,The adapted model’s weights or adapter behavior can carry that pattern into later inference runs.,"Insight strengthened. Fine-tuning makes a reusable model change, not just a one-chat hint.",v02710-fine-tuning-q2-correct,The adapted model’s weights or adapter behavior can carry that pattern into later inference runs.,True,"Insight strengthened. Fine-tuning makes a reusable model change, not just a one-chat hint.",v02710-fine-tuning-q2-context-only,Only the current context window got larger.,False,Not quite. A larger context window is temporary input space; fine-tuning changes reusable behavior.,v02710-fine-tuning-q2-memory,The model became conscious of the institution’s norms.,False,That gives the model too much mind. The behavior can be shaped without conscious commitment to norms.,v02710-fine-tuning-q2-rag-search,The model must search the institution’s files every time.,False,"Close, but fine-tuning and retrieval are different. Retrieval may be added, but fine-tuned behavior can persist in weights or adapters.",possible_correct_answer_length_bias,revise,high,Shorten the correct answer or lengthen/tighten distractors so the correct choice is not obviously more complete.
1,Before Morning,1.7,7,Fine-Tuning,"Distinguish fine-tuning or adapter training as durable post-pretraining adaptation from prompt, RAG, and sampling-time steering.",3,V02710-FINE-TUNING-Q3,causal-consequence,"If fine-tuning is used for alignment, what does that mean about future model behavior?",v02710-fine-tuning-q3-correct,Training can make some instruction-following or preference patterns more likely in later responses.,Good distinction. Fine-tuning can support alignment by durably shaping output patterns.,v02710-fine-tuning-q3-correct,Training can make some instruction-following or preference patterns more likely in later responses.,True,Good distinction. Fine-tuning can support alignment by durably shaping output patterns.,v02710-fine-tuning-q3-perfect-safety,Every future answer is guaranteed safe and true.,False,"Not quite. Fine-tuning can improve behavior, but it does not guarantee truth or safety.",v02710-fine-tuning-q3-system-prompt-only,Only the visible system prompt changed for one session.,False,"Close, but a system prompt steers the current run. Fine-tuning is durable training.",v02710-fine-tuning-q3-inner-values,The model acquired human values and moral agency.,False,That gives the model too much mind. Fine-tuning changes output patterns; it does not create moral agency.,possible_correct_answer_length_bias|possibly_obvious_distractor,revise,high,"Shorten the correct answer or lengthen/tighten distractors so the correct choice is not obviously more complete. Review “definitely/guaranteed/must” distractors; keep only if they represent a real public myth, otherwise make them more plausible."
1,Before Morning,1.8,8,Alignment,"Reason about alignment as behavior shaping through training, prompts, policies, filters, evaluation, and deployment controls without treating it as conscience or truth guarantee.",1,V02710-ALIGNMENT-Q1,boundary,An alignment-shaped assistant refuses a harmful request and follows a safer instruction instead. What should a model-literate learner conclude?,v02710-alignment-q1-correct,"Its behavior was shaped toward instructions and safety boundaries, but that does not prove moral understanding.",Good distinction. Alignment shapes behavior; it is not magic morality.,v02710-alignment-q1-correct,"Its behavior was shaped toward instructions and safety boundaries, but that does not prove moral understanding.",True,Good distinction. Alignment shapes behavior; it is not magic morality.,v02710-alignment-q1-conscious,The model must understand morality the way a person does.,False,That gives the model too much mind. Refusal behavior can be shaped without human moral understanding.,v02710-alignment-q1-truth,Every answer from the assistant is now guaranteed true.,False,"Not quite. Alignment can shape behavior, but it does not guarantee factual truth.",v02710-alignment-q1-no-model,The LLM stopped using learned weights and became a rulebook.,False,"Close, but an aligned product can still use a learned model plus rules, filters, or policies.",possible_correct_answer_length_bias|possibly_obvious_distractor,revise,high,"Shorten the correct answer or lengthen/tighten distractors so the correct choice is not obviously more complete. Review “definitely/guaranteed/must” distractors; keep only if they represent a real public myth, otherwise make them more plausible."
1,Before Morning,1.8,8,Alignment,"Reason about alignment as behavior shaping through training, prompts, policies, filters, evaluation, and deployment controls without treating it as conscience or truth guarantee.",2,V02710-ALIGNMENT-Q2,model-trace,"A product uses instruction fine-tuning, a system prompt, and a policy filter around one LLM. Which alignment map is most useful?",v02710-alignment-q2-correct,"Some alignment changes can be durable training changes, while other controls steer or filter the current run.","Insight strengthened. Alignment can happen through several layers, not one magic switch.",v02710-alignment-q2-correct,"Some alignment changes can be durable training changes, while other controls steer or filter the current run.",True,"Insight strengthened. Alignment can happen through several layers, not one magic switch.",v02710-alignment-q2-all-weights,Every alignment layer permanently rewrites the model weights.,False,"Not quite. Fine-tuning may change weights, but system prompts and filters can steer behavior at runtime.",v02710-alignment-q2-only-prompt,Alignment is only a better prompt typed by the user.,False,"Close, but alignment can include training, policies, evaluation, and runtime controls beyond the user prompt.",v02710-alignment-q2-sampling-only,Alignment is the same thing as sampling the most probable token.,False,Sampling chooses a next token from probabilities. Alignment shapes or constrains behavior around that process.,possible_correct_answer_length_bias,revise,high,Shorten the correct answer or lengthen/tighten distractors so the correct choice is not obviously more complete.
1,Before Morning,1.8,8,Alignment,"Reason about alignment as behavior shaping through training, prompts, policies, filters, evaluation, and deployment controls without treating it as conscience or truth guarantee.",3,V02710-ALIGNMENT-Q3,human-use-judgment,Why do teams evaluate aligned models with tests and human feedback after training or deployment?,v02710-alignment-q3-correct,"Because shaped behavior can still fail, drift, or create unexpected tradeoffs in new situations.",Good distinction. Alignment needs evaluation; it is not a one-time guarantee.,v02710-alignment-q3-correct,"Because shaped behavior can still fail, drift, or create unexpected tradeoffs in new situations.",True,Good distinction. Alignment needs evaluation; it is not a one-time guarantee.,v02710-alignment-q3-conscious-test,To check whether the model has developed a conscience.,False,"Not quite. Evaluation checks behavior and outcomes, not inner conscience.",v02710-alignment-q3-no-need,Because aligned models no longer need human review.,False,"This choice overclaims. Aligned systems can still need review, monitoring, and accountability.",v02710-alignment-q3-loss-only,Because lower training loss alone proves the model is safe.,False,"Close, but loss alone is not a full safety or usefulness evaluation.",possible_correct_answer_length_bias,revise,high,Shorten the correct answer or lengthen/tighten distractors so the correct choice is not obviously more complete.
