stageNumber,stageTitle,lessonNumber,learningCardId,learningCardTitle,questionNumber,questionId,authoringCategory,question,correctChoiceId,correctAnswer,objective
2,Morning Commute,,token-ids,Token IDs,3,v02710-token-ids-q3,model-trace,"During generation, the model chooses a next response token ID before the user sees text. What happens after that?",v02710-token-ids-q3-correct,The chosen ID can display as text and append as a response token.,"Explain token IDs as lookup keys from token chunks to embedding rows, not meanings, memories, or source retrieval by themselves."
2,Morning Commute,,embeddings,Embeddings,1,v02712-embeddings-q1,mechanism,"The token ID for ""dog"" looks up a vector before the sentence context is processed. What is that vector?",v02712-embeddings-q1-correct,A learned starting vector from the embedding table.,Distinguish an embedding as a learned starting vector retrieved from a durable embedding table from a temporary hidden state shaped by context.
2,Morning Commute,,embeddings,Embeddings,2,v02712-embeddings-q2,boundary,The same token starts with one embedding but appears in two different sentences. What can make its later internal vector differ during inference?,v02712-embeddings-q2-correct,Context and layers reshape the starting vector into a temporary internal state.,Distinguish an embedding as a learned starting vector retrieved from a durable embedding table from a temporary hidden state shaped by context.
2,Morning Commute,,vectors,Vectors,1,v02712-vectors-q1,mechanism,A learner sees a long row of numbers representing a token. What makes it a vector in the model trace?,v02712-vectors-q1-correct,It is an ordered numerical representation the model can compute with.,"Explain vectors as numerical representations with distributed features and distinguish vectors from scalar IDs, tensors, and human-readable labels."
2,Morning Commute,,vectors,Vectors,2,v02712-vectors-q2,misconception-check,"A vector dimension feels tempting to label as ""humor"" or ""truth."" What should the learner remember?",v02712-vectors-q2-correct,"Features are distributed across dimensions, not one label each.","Explain vectors as numerical representations with distributed features and distinguish vectors from scalar IDs, tensors, and human-readable labels."
2,Morning Commute,,vectors,Vectors,3,v02712-vectors-q3,boundary,An embedding row and a later internal state can both be vectors. Which boundary matters?,v02712-vectors-q3-correct,One vector can be learned; another can be temporary.,"Explain vectors as numerical representations with distributed features and distinguish vectors from scalar IDs, tensors, and human-readable labels."
2,Morning Commute,,tensors,Tensors,1,v02712-tensors-q1,mechanism,A model processes many token vectors arranged by token position and feature dimension. What makes that structure a tensor?,v02712-tensors-q1-correct,A tensor is a shaped block of numbers for model operations.,Explain tensors as shaped numerical blocks that organize many token vectors and features for layer operations.
2,Morning Commute,,tensors,Tensors,2,v02712-tensors-q2,boundary,"During training, a weight tensor changes. During inference, an activation tensor appears briefly. Which distinction is most useful?",v02712-tensors-q2-correct,Weight tensors can persist; activation tensors are temporary.,Explain tensors as shaped numerical blocks that organize many token vectors and features for layer operations.
3,Workday,,attention,Attention,1,v02712-attention-q1,application,"In ""The dog chased the ball because it bounced,"" the model must relate ""it"" to earlier tokens. What is attention doing?",v02712-attention-q1-correct,Weighting relevance between token positions in the current context.,"Explain attention as temporary weighted relevance between token positions that shapes hidden states, not human awareness or final token choice by itself."
3,Workday,,attention,Attention,2,v02712-attention-q2,boundary,A learner says attention is permanent memory because it links words. What is the better boundary?,v02712-attention-q2-correct,Learned attention weights persist; one prompt pattern is temporary.,"Explain attention as temporary weighted relevance between token positions that shapes hidden states, not human awareness or final token choice by itself."
3,Workday,,attention,Attention,3,v02712-attention-q3,boundary,Attention and the MLP both appear inside transformer layers. Which contrast is most accurate?,v02712-attention-q3-correct,Attention mixes information across positions; the MLP reshapes features within each position.,"Explain attention as temporary weighted relevance between token positions that shapes hidden states, not human awareness or final token choice by itself."
3,Workday,,attention,Attention,4,v02712-attention-q4,model-trace,"After tokens become vectors and tensors, where does attention fit in the workday stage?",v02712-attention-q4-correct,"Inside transformer layers, shaping temporary hidden states.","Explain attention as temporary weighted relevance between token positions that shapes hidden states, not human awareness or final token choice by itself."
3,Workday,,mlp,MLP,1,v02712-mlp-q1,mechanism,"After attention has mixed information across token positions, a layer reshapes each position's feature vector. Which component is doing that work?",v02712-mlp-q1-correct,"The MLP, using learned weights to transform features at each token position.","Explain the MLP as per-token feature reshaping inside each layer, distinct from attention mixing across token positions."
3,Workday,,mlp,MLP,2,v02712-mlp-q2,boundary,"The MLP has learned weights, but the feature values it produces during one answer are temporary. What does that mean?",v02712-mlp-q2-correct,The learned MLP parameters persist; this prompt's activations do not.,"Explain the MLP as per-token feature reshaping inside each layer, distinct from attention mixing across token positions."
3,Workday,,mlp,MLP,3,v02712-mlp-q3,misconception-check,A learner says the MLP is what links pronouns to earlier nouns. What nearby concept are they probably mixing in?,v02712-mlp-q3-correct,"Attention, because attention weights relevance between token positions.","Explain the MLP as per-token feature reshaping inside each layer, distinct from attention mixing across token positions."
3,Workday,,layers,Layers,1,v02712-layers-q1,mechanism,A transformer block repeats attention and MLP operations. What is being refined as the prompt moves through layers?,v02712-layers-q1-correct,Temporary hidden states for each token position.,Explain transformer layers as repeated attention-plus-MLP transformations that refine temporary hidden states without implying human thought steps.
3,Workday,,layers,Layers,2,v02712-layers-q2,boundary,"Layer weights are reused across many prompts, while hidden states appear for one run. Which boundary matters?",v02712-layers-q2-correct,Durable layer parameters differ from temporary layer activations.,Explain transformer layers as repeated attention-plus-MLP transformations that refine temporary hidden states without implying human thought steps.
3,Workday,,layers,Layers,3,v02712-layers-q3,misconception-check,A learner imagines each layer as a human-like thought step. What should replace that picture?,v02712-layers-q3-correct,"Layers are repeated numerical transformations, not thought steps.",Explain transformer layers as repeated attention-plus-MLP transformations that refine temporary hidden states without implying human thought steps.
3,Workday,,layers,Layers,4,v02712-layers-q4,model-trace,Why do residual paths and normalization matter in a simplified layer map?,v02712-layers-q4-correct,They carry signal forward while attention and MLP transformations repeat.,Explain transformer layers as repeated attention-plus-MLP transformations that refine temporary hidden states without implying human thought steps.
3,Workday,,hidden-states,Hidden States,1,v02712-hidden-states-q1,application,"The same token ""bank"" appears in two different sentences. Why can its later hidden state differ even if its starting embedding is similar?",v02712-hidden-states-q1-correct,Layer operations shape a temporary vector for that token position.,"Distinguish hidden states as temporary context-shaped internal vectors created during inference from embeddings, weights, visible text, and memory."
3,Workday,,hidden-states,Hidden States,2,v02712-hidden-states-q2,mechanism,"A learner hears ""hidden state"" and imagines secret English thoughts. What does ""hidden"" actually mean here?",v02712-hidden-states-q2-correct,"It is internal numerical data, not visible text.","Distinguish hidden states as temporary context-shaped internal vectors created during inference from embeddings, weights, visible text, and memory."
3,Workday,,hidden-states,Hidden States,3,v02712-hidden-states-q3,boundary,"During ordinary inference, how durable are hidden states?",v02712-hidden-states-q3-correct,They are temporary activations for the current run.,"Distinguish hidden states as temporary context-shaped internal vectors created during inference from embeddings, weights, visible text, and memory."
3,Workday,,hidden-states,Hidden States,4,v02712-hidden-states-q4,model-trace,Where do hidden states sit in the prompt's Journey?,v02712-hidden-states-q4-correct,Hidden states carry context-shaped information toward next-token scores.,"Distinguish hidden states as temporary context-shaped internal vectors created during inference from embeddings, weights, visible text, and memory."
4,Decision Room,,logits,Logits,1,v02712-logits-q1,mechanism,"Before softmax, the model assigns raw scores to candidate next tokens. What are those scores called?",v02712-logits-q1-correct,Logits: temporary raw next-token scores.,"Explain logits as temporary raw next-token scores produced before softmax, not probabilities, truth scores, or complete answers."
4,Decision Room,,logits,Logits,2,v02712-logits-q2,boundary,A logit is high for a token that would make a false sentence. What should the learner conclude?,v02712-logits-q2-correct,A high logit is not a truth guarantee.,"Explain logits as temporary raw next-token scores produced before softmax, not probabilities, truth scores, or complete answers."
4,Decision Room,,logits,Logits,3,v02712-logits-q3,model-trace,How do logits connect to the next steps in generation?,v02712-logits-q3-correct,"Softmax converts logits to probabilities, and sampling can choose one token.","Explain logits as temporary raw next-token scores produced before softmax, not probabilities, truth scores, or complete answers."
4,Decision Room,,softmax,Softmax,1,v02712-softmax-q1,mechanism,The model has raw logits for several possible next tokens. What does softmax do next?,v02712-softmax-q1-correct,It converts the raw scores into a probability distribution.,"Explain softmax as converting logits into a next-token probability distribution, not choosing the token or proving truth."
4,Decision Room,,softmax,Softmax,2,v02712-softmax-q2,boundary,"A token gets the highest softmax probability, but the claim is unsupported. What does that reveal?",v02712-softmax-q2-correct,"Probability is a model preference under context, not proof of truth.","Explain softmax as converting logits into a next-token probability distribution, not choosing the token or proving truth."
4,Decision Room,,softmax,Softmax,3,v02712-softmax-q3,model-trace,Where does softmax sit between logits and sampling?,v02712-softmax-q3-correct,After logits and before the next-token choice.,"Explain softmax as converting logits into a next-token probability distribution, not choosing the token or proving truth."
4,Decision Room,,sampling,Sampling,1,v02712-sampling-q1,mechanism,Softmax creates probabilities for possible next tokens. What does sampling do next?,v02712-sampling-q1-correct,It selects one next token from that probability-shaped set.,"Explain sampling as choosing one next token from probabilities during inference, after softmax and before append/repeat."
4,Decision Room,,sampling,Sampling,2,v02712-sampling-q2,model-trace,"After sampling selects one token, what does the autoregressive loop do with it?",v02712-sampling-q2-correct,It appends the token to the response-so-far so the next run can see it.,"Explain sampling as choosing one next token from probabilities during inference, after softmax and before append/repeat."
4,Decision Room,,sampling,Sampling,3,v02712-sampling-q3,causal-consequence,Why can sampling make two runs with the same prompt produce different wording?,v02712-sampling-q3-correct,The decoder can choose among likely tokens instead of following one fixed path.,"Explain sampling as choosing one next token from probabilities during inference, after softmax and before append/repeat."
4,Decision Room,,sampling,Sampling,4,v02712-sampling-q4,misconception-check,A learner says sampling writes the whole answer at once. What boundary fixes that misconception?,v02712-sampling-q4-correct,Sampling chooses one next token; autoregression appends and repeats.,"Explain sampling as choosing one next token from probabilities during inference, after softmax and before append/repeat."
5,The Day Repeats,,autoregression,Autoregression,1,v02712-autoregression-q1,model-trace,"In autoregression, a model writes ""The dog"" and then generates ""ran."" What does the next model run see?",v02712-autoregression-q1-correct,"The prompt plus the response so far, including the newly appended token.","Explain autoregression as next token, append to context, run again, while weights usually remain unchanged and context grows."
5,The Day Repeats,,autoregression,Autoregression,2,v02712-autoregression-q2,boundary,Autoregression updates the response-so-far during inference. What usually does not change?,v02712-autoregression-q2-correct,The model weights.,"Explain autoregression as next token, append to context, run again, while weights usually remain unchanged and context grows."
5,The Day Repeats,,autoregression,Autoregression,3,v02712-autoregression-q3,causal-consequence,A very long generated response can push older information out of view. Which earlier concept explains that limit?,v02712-autoregression-q3-correct,The context window.,"Explain autoregression as next token, append to context, run again, while weights usually remain unchanged and context grows."
5,The Day Repeats,,context-window,Context Window,1,v02712-context-window-q1,application,A long chat exceeds the context window and early details fall out. What changed most directly?,v02712-context-window-q1-correct,The temporary visible input available to the current run.,"Explain the context window as temporary visible input space for the current run, not permanent memory, and show how autoregression and RAG compete for that space."
5,The Day Repeats,,context-window,Context Window,2,v02712-context-window-q2,boundary,Why is context not the same as memory?,v02712-context-window-q2-correct,Context is current input; memory needs a separate saved mechanism.,"Explain the context window as temporary visible input space for the current run, not permanent memory, and show how autoregression and RAG compete for that space."
5,The Day Repeats,,context-window,Context Window,3,v02712-context-window-q3,model-trace,RAG retrieves three passages before the LLM answers. Where do those passages usually go?,v02712-context-window-q3-correct,Into the current context window as retrieved context.,"Explain the context window as temporary visible input space for the current run, not permanent memory, and show how autoregression and RAG compete for that space."
5,The Day Repeats,,context-window,Context Window,4,v02712-context-window-q4,model-trace,Why does the response-so-far matter for the context window?,v02712-context-window-q4-correct,"Generated tokens append, so later steps can attend to them.","Explain the context window as temporary visible input space for the current run, not permanent memory, and show how autoregression and RAG compete for that space."
5,The Day Repeats,,rag-retrieval,RAG and Retrieval,1,v02712-rag-retrieval-q1,application,"A RAG system searches a course handbook, inserts two passages into the prompt, then the LLM answers. What changed most directly?",v02712-rag-retrieval-q1-correct,Outside text was retrieved and placed into the current context.,"Explain RAG as a retrieval system that places outside evidence into current context during inference, not training, omniscience, or permanent memory."
5,The Day Repeats,,rag-retrieval,RAG and Retrieval,2,v02712-rag-retrieval-q2,boundary,Which source can a RAG system use?,v02712-rag-retrieval-q2-correct,Sources connected to its retriever or index.,"Explain RAG as a retrieval system that places outside evidence into current context during inference, not training, omniscience, or permanent memory."
5,The Day Repeats,,rag-retrieval,RAG and Retrieval,3,v02712-rag-retrieval-q3,boundary,Why is RAG not training?,v02712-rag-retrieval-q3-correct,RAG supplies temporary context; it does not change weights by itself.,"Explain RAG as a retrieval system that places outside evidence into current context during inference, not training, omniscience, or permanent memory."
5,The Day Repeats,,rag-retrieval,RAG and Retrieval,4,v02712-rag-retrieval-q4,causal-consequence,How can RAG reduce hallucinations without eliminating them?,v02712-rag-retrieval-q4-correct,"RAG gives temporary evidence, but retrieval or generation can still fail.","Explain RAG as a retrieval system that places outside evidence into current context during inference, not training, omniscience, or permanent memory."
5,The Day Repeats,,grounding,Grounding,1,v02712-grounding-q1,application,"A retrieved passage says one thing, but the answer claims another. Why can grounding still fail?",v02712-grounding-q1-correct,Evidence does not guarantee the answer stays connected.,Explain grounding as connecting generated claims to available evidence while recognizing that citations or retrieval do not guarantee truth.
5,The Day Repeats,,grounding,Grounding,2,v02712-grounding-q2,mechanism,A campus answer cites retrieved documents and data. What is grounding trying to connect?,v02712-grounding-q2-correct,"Generated claims to available documents, data, or tool results.",Explain grounding as connecting generated claims to available evidence while recognizing that citations or retrieval do not guarantee truth.
5,The Day Repeats,,grounding,Grounding,3,v02712-grounding-q3,misconception-check,A response includes a polished citation that the source list does not contain. What should a learner suspect?,v02712-grounding-q3-correct,The citation may be generated text rather than grounded evidence.,Explain grounding as connecting generated claims to available evidence while recognizing that citations or retrieval do not guarantee truth.
5,The Day Repeats,,grounding,Grounding,4,v02712-grounding-q4,boundary,How does grounding connect to RAG in a well-designed system?,v02712-grounding-q4-correct,RAG supplies evidence; grounding checks whether the answer uses it.,Explain grounding as connecting generated claims to available evidence while recognizing that citations or retrieval do not guarantee truth.
5,The Day Repeats,,hallucinations,Hallucinations,1,v02712-hallucinations-q1,application,The model invents a realistic article title and citation. What makes this a hallucination?,v02712-hallucinations-q1-correct,The fluent output lacks adequate support from available evidence.,"Explain hallucination as fluent generated output that lacks adequate support, not intentional lying, consciousness, or proof of malice."
5,The Day Repeats,,hallucinations,Hallucinations,2,v02712-hallucinations-q2,causal-consequence,Why can hallucinations happen in a next-token system?,v02712-hallucinations-q2-correct,Fluent token choices can outrun evidence or grounding.,"Explain hallucination as fluent generated output that lacks adequate support, not intentional lying, consciousness, or proof of malice."
5,The Day Repeats,,hallucinations,Hallucinations,3,v02712-hallucinations-q3,boundary,A hallucination is often confused with lying. Which boundary matters?,v02712-hallucinations-q3-correct,Lying implies intent; hallucination describes unsupported output.,"Explain hallucination as fluent generated output that lacks adequate support, not intentional lying, consciousness, or proof of malice."
5,The Day Repeats,,hallucinations,Hallucinations,4,v02712-hallucinations-q4,human-use-judgment,Which practice can reduce hallucination risk without pretending it disappears?,v02712-hallucinations-q4-correct,"Use evidence, constraints, and human review for important claims.","Explain hallucination as fluent generated output that lacks adequate support, not intentional lying, consciousness, or proof of malice."
6,Twilight: The Wider Landscape,,how-ai-learns,How AI Learns,1,v02712-how-ai-learns-q1,application,A team fine-tunes a support model on many reviewed examples. What usually changes?,v02712-how-ai-learns-q1-correct,Weights or adapter behavior that can affect future inference runs.,"Compare ways AI systems appear to learn and separate durable weight or adapter changes from temporary context use, retrieval, and in-context behavior."
6,Twilight: The Wider Landscape,,how-ai-learns,How AI Learns,2,v02712-how-ai-learns-q2,boundary,A user pastes a policy into the prompt and the answer follows it. What kind of learning-like behavior is this?,v02712-how-ai-learns-q2-correct,"Temporary context use, not durable weight change.","Compare ways AI systems appear to learn and separate durable weight or adapter changes from temporary context use, retrieval, and in-context behavior."
6,Twilight: The Wider Landscape,,how-ai-learns,How AI Learns,3,v02712-how-ai-learns-q3,model-trace,A RAG system retrieves a PDF passage and the model uses it. What did the system add?,v02712-how-ai-learns-q3-correct,Outside information in the current context.,"Compare ways AI systems appear to learn and separate durable weight or adapter changes from temporary context use, retrieval, and in-context behavior."
