stage_number,stage_title,learning_card_code,learning_card_id,learning_card_title,question_number,question_id,question_type,choice_position_source_order,choice_id,is_correct,text,feedback,represented_misconception,represented_glossary_term,distractor_source,distractor_rationale
1,Before Morning,1.5,pretraining,Pretraining,2,v0279-pretraining-q2,boundary,1,v0279-pretraining-q2-correct,true,It shapes patterns in weights; it is not a searchable copy of every source.,Good distinction. Pretraining can shape broad ability without turning the model into a perfect source library.,,,,
1,Before Morning,1.5,pretraining,Pretraining,2,v0279-pretraining-q2,boundary,2,v0279-pretraining-q2-private-files,false,It gives the model direct access to every private file on demand.,"Not quite. Training data exposure is not the same as access to every private file. This makes a current-use step permanent; ordinary prompts, retrieval, and inference do not automatically rewrite weights.",training data vs universal file access,training-data,same-card,Tempting because broad training data can sound like broad access.
1,Before Morning,1.5,pretraining,Pretraining,2,v0279-pretraining-q2,boundary,3,v0279-pretraining-q2-search-context,false,It inserts the original source into every future prompt context.,"Close, but adding source text to context is different from pretraining. Pretraining changes weights before use.",pretraining vs retrieval/context,retrieval,author-created misconception,Tempting because source material can sometimes be added to a prompt.
1,Before Morning,1.5,pretraining,Pretraining,2,v0279-pretraining-q2,boundary,4,v0279-pretraining-q2-after-user-prompt,false,It happens only after a user asks a specific question.,Pretraining happens before deployment. The user prompt later uses the pretrained weights.,pretraining vs deployment-time inference,inference,same-card,Tempting because learners meet the model only during use.
1,Before Morning,1.5,pretraining,Pretraining,3,v0279-pretraining-q3,causal-consequence,1,v0279-pretraining-q3-correct,true,Weights shift so future prompts can activate useful language or code patterns.,Good distinction. Pretraining changes reusable model structure before later prompts arrive.,,,,
1,Before Morning,1.5,pretraining,Pretraining,3,v0279-pretraining-q3,causal-consequence,2,v0279-pretraining-q3-current-context,false,The model’s current chat context becomes permanently larger.,Not quite. Context is temporary input; pretraining changes reusable weights before later prompts arrive.,pretraining weights vs temporary context,context window,nearby-stage,Tempting because context also affects output.
1,Before Morning,1.5,pretraining,Pretraining,3,v0279-pretraining-q3,causal-consequence,3,v0279-pretraining-q3-interface,false,"Only the app’s buttons, labels, or interface change.","This describes product UI changes, not the model’s learned parameters. This makes a current-use step permanent; ordinary prompts, retrieval, and inference do not automatically rewrite weights.",model weights vs product interface,foundation-model,nearby-stage,Tempting because users meet models through apps.
1,Before Morning,1.5,pretraining,Pretraining,3,v0279-pretraining-q3,causal-consequence,4,v0279-pretraining-q3-safety-policy,false,Only a safety policy is added around the model.,"Close, but a policy can shape a product around the model; pretraining changes the model’s reusable weights.",pretraining vs product policy wrapper,policy,nearby-stage,Tempting because products often include safety behavior.
1,Before Morning,1.5,pretraining,Pretraining,4,v02712-pretraining-q4,boundary,1,v02712-pretraining-q4-correct,true,Past training shaped weights; source-like text is not proof of live search.,Good boundary. Pretraining can shape fact-like patterns without turning the model into a search engine.,,,,
1,Before Morning,1.5,pretraining,Pretraining,4,v02712-pretraining-q4,boundary,2,v02712-pretraining-q4-2-retrieval,false,The model must have used a live lookup tool during the prompt.,"Search is a system/tool action, not something pretraining proves. This treats lookup or citation as learning or truth; retrieved evidence can help only when the system uses and checks it well.",The model must have searched the web during the prompt.,retrieval,explicit-confusable,"Plausible because retrieval is nearby, but this choice preserves a misconception the card is designed to correct."
1,Before Morning,1.5,pretraining,Pretraining,4,v02712-pretraining-q4,boundary,3,v02712-pretraining-q4-3-memory,false,The model opened a stored copy of the original page.,Pretraining does not make a perfect searchable library of every source. This treats lookup or citation as learning or truth; retrieved evidence can help only when the system uses and checks it well.,The model opened a stored copy of the original page.,memory,explicit-confusable,"Plausible because memory is nearby, but this choice preserves a misconception the card is designed to correct."
1,Before Morning,1.5,pretraining,Pretraining,4,v02712-pretraining-q4,boundary,4,v02712-pretraining-q4-4-truth,false,The model became certain because the text sounded factual.,Fluent source-like text is not a truth guarantee. This treats lookup or citation as learning or truth; retrieved evidence can help only when the system uses and checks it well.,The model became certain because the text sounded factual.,truth,explicit-confusable,"Plausible because truth is nearby, but this choice preserves a misconception the card is designed to correct."
1,Before Morning,1.6,overfitting-generalization,Overfitting and Generalization,1,v0279-overfitting-generalization-q1,application,1,v0279-overfitting-generalization-q1-correct,true,Overfitting: the model fit training examples too narrowly to generalize well.,"Good diagnosis. Set-aside validation examples are saved for testing, not used to fit the model.",,,,
1,Before Morning,1.6,overfitting-generalization,Overfitting and Generalization,1,v0279-overfitting-generalization-q1,application,2,v0279-overfitting-generalization-q1-generalization,false,Generalization: the model is working well on unseen cases.,Not quite. Generalization means good performance on new examples; this scenario shows the opposite.,overfitting vs generalization,generalization,same-card,Tempting because both terms describe training performance.
1,Before Morning,1.6,overfitting-generalization,Overfitting and Generalization,1,v0279-overfitting-generalization-q1,application,3,v0279-overfitting-generalization-q1-better-training,false,Better training: the model has clearly learned the general rule.,"Not quite. If it fails on new validation examples, high training performance is not enough evidence of generalization.",training performance vs validation failure,training-data,same-card,Tempting because perfect training performance feels reassuring.
1,Before Morning,1.6,overfitting-generalization,Overfitting and Generalization,1,v0279-overfitting-generalization-q1,application,4,v0279-overfitting-generalization-q1-inference,false,Inference: the model is simply generating one token at a time.,"Close, but inference is normal model use; overfitting is a training/evaluation failure mode.",training/evaluation failure vs inference process,inference,nearby-stage,Tempting because all later model use involves inference.
1,Before Morning,1.6,overfitting-generalization,Overfitting and Generalization,2,v0279-overfitting-generalization-q2,human-use-judgment,1,v0279-overfitting-generalization-q2-correct,true,They are kept out of training so they can test whether learned patterns transfer.,"Insight strengthened. Set-aside validation examples are saved for testing, not used to fit the model.",,,,
1,Before Morning,1.6,overfitting-generalization,Overfitting and Generalization,2,v0279-overfitting-generalization-q2,human-use-judgment,2,v0279-overfitting-generalization-q2-extra-training,false,Validation data is just extra training data used to lower loss.,"Not quite. Validation examples are saved for testing, not used as extra examples to fit the model.",validation data vs training data,validation-data,same-card,Tempting because validation examples can look like more examples.
1,Before Morning,1.6,overfitting-generalization,Overfitting and Generalization,2,v0279-overfitting-generalization-q2,human-use-judgment,3,v0279-overfitting-generalization-q2-training-proves-all,false,Training examples alone prove the model will work everywhere.,This choice reveals the exact overfitting risk. Seen examples are not enough evidence.,training performance vs generalization,training-data,same-card,Tempting because high training accuracy feels reassuring.
1,Before Morning,1.6,overfitting-generalization,Overfitting and Generalization,2,v0279-overfitting-generalization-q2,human-use-judgment,4,v0279-overfitting-generalization-q2-loss-truth,false,A lower loss always proves every future answer is true.,"Close, but lower loss is not a truth guarantee, especially outside the tested examples.",loss/probability vs truth guarantee,loss,nearby-stage,Tempting because lower loss often signals improvement.
1,Before Morning,1.6,overfitting-generalization,Overfitting and Generalization,3,v0279-overfitting-generalization-q3,causal-consequence,1,v0279-overfitting-generalization-q3-correct,true,It fit narrow examples too closely instead of generalizing.,"Good distinction. Targeted training can help, but narrow training can also make behavior brittle.",,,,
1,Before Morning,1.6,overfitting-generalization,Overfitting and Generalization,3,v0279-overfitting-generalization-q3,causal-consequence,2,v0279-overfitting-generalization-q3-prompt-rewrite,false,The prompts permanently rewrote the model during inference.,"Not quite. The issue is training behavior, not prompts rewriting weights during inference.",prompt/context vs training weight changes,prompt,nearby-stage,Tempting because prompts can change output behavior.
1,Before Morning,1.6,overfitting-generalization,Overfitting and Generalization,3,v0279-overfitting-generalization-q3,causal-consequence,3,v0279-overfitting-generalization-q3-conscious-choice,false,The model learned the narrow template so well that broader prompts no longer matter.,"That gives the model too much mind. The issue is brittle transfer, not intention. This gives the system human-like awareness or intent; shaped behavior is still not a mind, motive, or conscience.",brittle transfer vs intention/conscious choice,llm,author-created misconception,Tempting because poor behavior can seem intentional.
1,Before Morning,1.6,overfitting-generalization,Overfitting and Generalization,3,v0279-overfitting-generalization-q3,causal-consequence,4,v0279-overfitting-generalization-q3-rules-always-better,false,Rule-based AI is always better than learned models.,"This overgeneralizes. The issue is narrow training behavior, not proof that rules always beat learned models.",overfitting diagnosis vs symbolic superiority claim,symbolic-ai,nearby-stage,Tempting because brittleness can make rules feel safer.
1,Before Morning,1.7,fine-tuning,Fine-Tuning,1,v02712-fine-tuning-q1,application,1,v02712-fine-tuning-q1-correct,true,Fine-tune weights or adapters for future responses.,Insight strengthened. Fine-tuning is durable adaptation for future inference runs.,,,,
1,Before Morning,1.7,fine-tuning,Fine-Tuning,1,v02712-fine-tuning-q1,application,2,v02712-fine-tuning-q1-2-prompt,false,Paste the norms into one user prompt.,"A prompt can steer the current run, but it is not durable training. This makes a current-use step permanent; ordinary prompts, retrieval, and inference do not automatically rewrite weights.",Paste the norms into one user prompt.,prompt,explicit-confusable,"Plausible because prompt is nearby, but this choice preserves a misconception the card is designed to correct."
1,Before Morning,1.7,fine-tuning,Fine-Tuning,1,v02712-fine-tuning-q1,application,3,v02712-fine-tuning-q1-3-rag,false,Retrieve a policy page into the current context.,"Retrieval adds temporary evidence; it does not by itself fine-tune weights. This makes a current-use step permanent; ordinary prompts, retrieval, and inference do not automatically rewrite weights.",Retrieve a policy page into the current context.,RAG,explicit-confusable,"Plausible because RAG is nearby, but this choice preserves a misconception the card is designed to correct."
1,Before Morning,1.7,fine-tuning,Fine-Tuning,1,v02712-fine-tuning-q1,application,4,v02712-fine-tuning-q1-4-sampling,false,Sample from a lower-temperature distribution.,"Sampling changes a generation-time choice, not the model pattern carried forward. This moves the job to a neighboring model step; tokenization, embeddings, layers, scores, and sampling do different work.",Sample from a lower-temperature distribution.,sampling,explicit-confusable,"Plausible because sampling is nearby, but this choice preserves a misconception the card is designed to correct."
1,Before Morning,1.7,fine-tuning,Fine-Tuning,2,v02710-fine-tuning-q2,application,1,v02710-fine-tuning-q2-correct,true,Adapted weights or adapters can carry the pattern into later runs.,"Insight strengthened. Fine-tuning makes a reusable model change, not just a one-chat hint.",,,,
1,Before Morning,1.7,fine-tuning,Fine-Tuning,2,v02710-fine-tuning-q2,application,2,v02710-fine-tuning-q2-context-only,false,Only the current context window got larger.,Not quite. A larger context window is temporary input space; fine-tuning changes reusable behavior.,context window vs fine-tuned behavior,context window,nearby-stage,Tempting because context can also carry institution-specific text.
1,Before Morning,1.7,fine-tuning,Fine-Tuning,2,v02710-fine-tuning-q2,application,3,v02710-fine-tuning-q2-memory,false,The model became conscious of the institution’s norms.,That gives the model too much mind. The behavior can be shaped without conscious commitment to norms.,mind/metaphor overreach,alignment,explicit-confusable,Tempting because the assistant may sound norm-aware.
1,Before Morning,1.7,fine-tuning,Fine-Tuning,2,v02710-fine-tuning-q2,application,4,v02710-fine-tuning-q2-rag-search,false,The model must search the institution’s files every time.,"Close, but fine-tuning and retrieval are different. Retrieval may be added, but fine-tuned behavior can persist in weights or adapters.",retrieval vs fine-tuning,retrieval,same-stage,Tempting because many institutional assistants also use search.
1,Before Morning,1.7,fine-tuning,Fine-Tuning,3,v02710-fine-tuning-q3,causal-consequence,1,v02710-fine-tuning-q3-correct,true,Training can make instruction-following patterns more likely later.,Good distinction. Fine-tuning can support alignment by durably shaping output patterns.,,,,
1,Before Morning,1.7,fine-tuning,Fine-Tuning,3,v02710-fine-tuning-q3,causal-consequence,2,v02710-fine-tuning-q3-perfect-safety,false,"Future answers will tend to be safer, so evaluation is no longer needed.","Not quite. Fine-tuning can improve behavior, but it does not guarantee truth or safety.",alignment/fine-tuning as guarantee,alignment,nearby-stage,Tempting because alignment sounds like solving behavior.
