repairId,learningCardTitle,questionId,trigger,status,oldStem,oldCorrect,newStem,newCorrect,reason
V02715-018,Hidden States,v02712-hidden-states-q4,hidden states,retained,Where do hidden states sit in the prompt's Journey?,Hidden states carry context-shaped information toward next-token scores.,Where do hidden states sit in the prompt's Journey?,Hidden states carry context-shaped information toward next-token scores.,"Retained because the term is necessary for a fair mechanism or boundary distinction, or distractors use the same nearby vocabulary."
V02715-019,Logits,v02712-logits-q2,logit,retained,A logit is high for a token that would make a false sentence. What should the learner conclude?,A high logit is not a truth guarantee.,A logit is high for a token that would make a false sentence. What should the learner conclude?,A high logit is not a truth guarantee.,"Retained because the term is necessary for a fair mechanism or boundary distinction, or distractors use the same nearby vocabulary."
V02715-020,Logits,v02712-logits-q3,logits,retained,How do logits connect to the next steps in generation?,"Softmax converts logits to probabilities, and sampling can choose one token.",How do logits connect to the next steps in generation?,"Softmax converts logits to probabilities, and sampling can choose one token.","Retained because the term is necessary for a fair mechanism or boundary distinction, or distractors use the same nearby vocabulary."
V02715-021,Softmax,v02712-softmax-q2,probability,retained,"A token gets the highest softmax probability, but the claim is unsupported. What does that reveal?","Probability is a model preference under context, not proof of truth.","A token gets the highest softmax probability, but the claim is unsupported. What does that reveal?","Probability is a model preference under context, not proof of truth.","Retained because the term is necessary for a fair mechanism or boundary distinction, or distractors use the same nearby vocabulary."
V02715-022,Softmax,v02712-softmax-q3,logits,retained,Where does softmax sit between logits and sampling?,After logits and before the next-token choice.,Where does softmax sit between logits and sampling?,After logits and before the next-token choice.,"Retained because the term is necessary for a fair mechanism or boundary distinction, or distractors use the same nearby vocabulary."
V02715-023,Sampling,v02712-sampling-q3,sampling,changed,Why can sampling make two runs with the same prompt produce different wording?,"Sampling can choose among likely tokens, not one fixed path.",Why can sampling make two runs with the same prompt produce different wording?,The decoder can choose among likely tokens instead of following one fixed path.,Correct answer or stem was revised to reduce term echo.
V02715-024,Sampling,v02712-sampling-q4,sampling,retained,A learner says sampling writes the whole answer at once. What boundary fixes that misconception?,Sampling chooses one next token; autoregression appends and repeats.,A learner says sampling writes the whole answer at once. What boundary fixes that misconception?,Sampling chooses one next token; autoregression appends and repeats.,"Retained because the term is necessary for a fair mechanism or boundary distinction, or distractors use the same nearby vocabulary."
V02715-025,Context Window,v02712-context-window-q2,memory,retained,Why is context not the same as memory?,Context is current input; memory needs a separate saved mechanism.,Why is context not the same as memory?,Context is current input; memory needs a separate saved mechanism.,"Retained because the term is necessary for a fair mechanism or boundary distinction, or distractors use the same nearby vocabulary."
V02715-026,Grounding,v02712-grounding-q3,citation,retained,A response includes a polished citation that the source list does not contain. What should a learner suspect?,The citation may be generated text rather than grounded evidence.,A response includes a polished citation that the source list does not contain. What should a learner suspect?,The citation may be generated text rather than grounded evidence.,"Retained because the term is necessary for a fair mechanism or boundary distinction, or distractors use the same nearby vocabulary."
V02715-027,Grounding,v02712-grounding-q4,grounding,retained,How does grounding connect to RAG in a well-designed system?,RAG supplies evidence; grounding checks whether the answer uses it.,How does grounding connect to RAG in a well-designed system?,RAG supplies evidence; grounding checks whether the answer uses it.,"Retained because the term is necessary for a fair mechanism or boundary distinction, or distractors use the same nearby vocabulary."
V02715-028,Hallucinations,v02712-hallucinations-q3,hallucination; lying,retained,A hallucination is often confused with lying. Which boundary matters?,Lying implies intent; hallucination describes unsupported output.,A hallucination is often confused with lying. Which boundary matters?,Lying implies intent; hallucination describes unsupported output.,"Retained because the term is necessary for a fair mechanism or boundary distinction, or distractors use the same nearby vocabulary."
V02715-029,Diffusion vs Autoregression,v02712-diffusion-q1,diffusion,retained,"In Diffusion vs Autoregression, one system appends text tokens and another denoises an image. Which boundary is most accurate?",Autoregressive LLMs and diffusion models are different generative methods.,"In Diffusion vs Autoregression, one system appends text tokens and another denoises an image. Which boundary is most accurate?",Autoregressive LLMs and diffusion models are different generative methods.,"Retained because the term is necessary for a fair mechanism or boundary distinction, or distractors use the same nearby vocabulary."
V02715-030,The Perfect Storm,v02712-perfect-storm-q2,incentives,retained,Why do labor and incentives belong beside data and compute in the Perfect Storm?,Human work and incentives helped turn methods into products.,Why do labor and incentives belong beside data and compute in the Perfect Storm?,Human work and incentives helped turn methods into products.,"Retained because the term is necessary for a fair mechanism or boundary distinction, or distractors use the same nearby vocabulary."
V02715-031,"Collective Intelligence, Extracted",v02712-collective-intelligence-q3,pretraining,retained,How does collective intelligence connect back to pretraining?,Pretraining can shape weights from patterns in human-created data.,How does collective intelligence connect back to pretraining?,Pretraining can shape weights from patterns in human-created data.,"Retained because the term is necessary for a fair mechanism or boundary distinction, or distractors use the same nearby vocabulary."
V02715-032,Costs We Must Count,v02712-costs-we-must-count-q3,costs,retained,"A product is called digital, so someone assumes it is weightless. What costs does that hide?","It hides infrastructure, energy, labor, and policy costs.","A product is called digital, so someone assumes it is weightless. What costs does that hide?","It hides infrastructure, energy, labor, and policy costs.","Retained because the term is necessary for a fair mechanism or boundary distinction, or distractors use the same nearby vocabulary."
V02715-033,Risk vs Myth,v02712-risk-myth-q2,tool,retained,A tool has permission to search a campus drive. What should risk literacy ask first?,"What data the tool can access, retain, log, and send into context.",A tool has permission to search a campus drive. What should risk literacy ask first?,"What data the tool can access, retain, log, and send into context.","Retained because the term is necessary for a fair mechanism or boundary distinction, or distractors use the same nearby vocabulary."
V02715-034,Risk vs Myth,v02712-risk-myth-q3,hallucination; lying,retained,What boundary separates hallucination risk from lying?,Hallucination is unsupported output; lying implies intent.,What boundary separates hallucination risk from lying?,Hallucination is unsupported output; lying implies intent.,"Retained because the term is necessary for a fair mechanism or boundary distinction, or distractors use the same nearby vocabulary."
V02715-035,Risk vs Myth,v02712-risk-myth-q4,risk; myth,retained,Which response is best when a risk is real but a myth is also circulating?,"Name the concrete risk, reject the myth, and choose safeguards that match the system.",Which response is best when a risk is real but a myth is also circulating?,"Name the concrete risk, reject the myth, and choose safeguards that match the system.","Retained because the term is necessary for a fair mechanism or boundary distinction, or distractors use the same nearby vocabulary."
V02715-036,Benefits Worth Taking Seriously,v02712-benefits-worth-taking-seriously-q3,benefits,retained,A team names real AI benefits while still checking limits and costs. Which misconception does that avoid?,Taking benefits seriously does not mean believing in utopia.,A team names real AI benefits while still checking limits and costs. Which misconception does that avoid?,Taking benefits seriously does not mean believing in utopia.,"Retained because the term is necessary for a fair mechanism or boundary distinction, or distractors use the same nearby vocabulary."
V02715-037,Effective Prompting from Model Literacy,v02712-effective-prompting-literacy-q3,citation,retained,A user asks for a citation but provides no source and no retrieval tool is connected. What should model literacy suggest?,Ask for sources or retrieval; do not trust citation-shaped output alone.,A user asks for a citation but provides no source and no retrieval tool is connected. What should model literacy suggest?,Ask for sources or retrieval; do not trust citation-shaped output alone.,"Retained because the term is necessary for a fair mechanism or boundary distinction, or distractors use the same nearby vocabulary."
V02715-038,Model Literate Synthesis,v02712-model-literate-synthesis-q1,prompt,retained,A learner traces one answer from prompt to output. Which trace keeps the mechanism clear?,Prompt tokens become IDs and embeddings; layers shape states; scores become probabilities; sampling appends tokens.,A learner traces one answer from prompt to output. Which trace keeps the mechanism clear?,Prompt tokens become IDs and embeddings; layers shape states; scores become probabilities; sampling appends tokens.,"Retained because the term is necessary for a fair mechanism or boundary distinction, or distractors use the same nearby vocabulary."
