stage_number,stage_title,learning_card_code,learning_card_id,learning_card_title,question_number,question_id,question_type,choice_position_source_order,choice_id,is_correct,text,feedback,represented_misconception,represented_glossary_term,distractor_source,distractor_rationale
1,Before Morning,1.3,history,Rationalists vs Empiricists,2,v0279-history-q2,mechanism,1,v0279-history-q2-correct,true,Loss measures prediction error so an optimizer can adjust weights.,"Insight strengthened. Loss is the numerical training signal, not a feeling or truth meter.",,,,
1,Before Morning,1.3,history,Rationalists vs Empiricists,2,v0279-history-q2,mechanism,2,v0279-history-q2-moral-good,false,Loss tells the model whether a generated answer is morally good.,Not quite. Loss is a numerical error signal; alignment and policy questions need additional methods.,loss vs human value judgment,loss,same-card,Tempting because loss sounds like a judgment word.
1,Before Morning,1.3,history,Rationalists vs Empiricists,2,v0279-history-q2,mechanism,3,v0279-history-q2-confidence-score,false,Loss is the model’s confidence score for the next token during generation.,"Close, but confidence or probability shapes generation. Loss measures training error so weights can be adjusted.",loss vs confidence/probability during generation,probability,nearby-stage,Tempting because both are numerical signals related to prediction.
1,Before Morning,1.3,history,Rationalists vs Empiricists,2,v0279-history-q2,mechanism,4,v0279-history-q2-final-answer,false,Loss writes the final answer after the model has finished thinking.,Not quite. Loss is used during training; it is not the model writing a response. That would be a durable learning or storage claim; this checkpoint is separating it from temporary context or runtime behavior.,training signal vs response generation,response,nearby-stage,Tempting because learners may treat every internal step as answer writing.
1,Before Morning,1.3,history,Rationalists vs Empiricists,3,v02712-history-q3,boundary,1,v02712-history-q3-correct,true,"The product combines learned patterns, written rules, and lookup tools; the LLM remains learned-pattern AI.",Good distinction. Modern AI products can mix traditions without making the model itself rule-based.,,,,
1,Before Morning,1.3,history,Rationalists vs Empiricists,3,v02712-history-q3,boundary,2,v02712-history-q3-2-symbolic-ai,false,The hand-written checks turn the LLM into symbolic AI.,"That confuses a product wrapper with the model inside it. The tempting idea is nearby, but it does not match the boundary this checkpoint is testing.",The hand-written checks turn the LLM into symbolic AI.,symbolic AI,explicit-confusable,"Plausible because symbolic AI is nearby, but this choice preserves a misconception the card is designed to correct."
1,Before Morning,1.3,history,Rationalists vs Empiricists,3,v02712-history-q3,boundary,3,v02712-history-q3-3-rag,false,The handbook lookup permanently rewrites the model weights.,Retrieval can add context without becoming durable training. That would be a durable learning or storage claim; this checkpoint is separating it from temporary context or runtime behavior.,The retrieved handbook permanently rewrites the model weights.,RAG,explicit-confusable,"Plausible because RAG is nearby, but this choice preserves a misconception the card is designed to correct."
1,Before Morning,1.3,history,Rationalists vs Empiricists,3,v02712-history-q3,boundary,4,v02712-history-q3-4-alignment,false,The policy checks prove the model has moral understanding.,"Policy behavior is not the same as conscience or awareness. The behavior can be shaped without giving the model human awareness, intent, or moral agency.",The policy checks prove the model has moral understanding.,alignment,explicit-confusable,"Plausible because alignment is nearby, but this choice preserves a misconception the card is designed to correct."
1,Before Morning,1.4,training,Training,1,v0279-training-q1,mechanism,1,v0279-training-q1-correct,true,The training process uses the loss signal to update weights.,Good distinction. The durable weight update is what makes this training.,,,,
1,Before Morning,1.4,training,Training,1,v0279-training-q1,mechanism,2,v0279-training-q1-append-response,false,The model appends the mistaken token to a normal live response.,Not quite. Appending a response token is inference behavior; training uses loss to change weights.,training vs autoregressive inference,inference,same-card,Tempting because generation also chooses and appends tokens.
1,Before Morning,1.4,training,Training,1,v0279-training-q1,mechanism,3,v0279-training-q1-durable-memory,false,The prompt becomes durable memory stored inside the model’s weights.,This choice reveals a common mix-up. Context can shape the current chat without becoming a weight update.,context vs durable weight update,memory,author-created misconception,Tempting because chat context can feel remembered.
1,Before Morning,1.4,training,Training,1,v0279-training-q1,mechanism,4,v0279-training-q1-likelihood-truth,false,The model treats the most likely answer as automatically true.,"Not quite. Likelihood is not truth, and this training moment matters because loss can drive a weight update.",likelihood vs truth,probability,nearby-stage,Tempting because likely answers can sound authoritative.
1,Before Morning,1.4,training,Training,2,v0279-training-q2,boundary,1,v0279-training-q2-correct,true,The model uses fixed weights and temporary context; the chat usually does not rewrite weights.,"Insight strengthened. Normal chat inference can use context, but it usually does not rewrite weights.",,,,
1,Before Morning,1.4,training,Training,2,v0279-training-q2,boundary,2,v0279-training-q2-permanent-update,false,The chat permanently updates the base model’s weights.,"Not quite. That would require a training process, not ordinary inference. That would be a durable learning or storage claim; this checkpoint is separating it from temporary context or runtime behavior.",ordinary inference vs training update,training,same-card,Tempting because the model appears to adapt to the user.
1,Before Morning,1.4,training,Training,2,v0279-training-q2,boundary,3,v0279-training-q2-durable-memory,false,The model stores the prompt as durable memory inside its weights.,This choice reveals a common mix-up. Context can shape the current chat without becoming a weight update.,context vs durable memory/weights,memory,author-created misconception,Tempting because the model can refer to earlier chat context.
1,Before Morning,1.4,training,Training,2,v0279-training-q2,boundary,4,v0279-training-q2-optimizer-after-response,false,The optimizer trains the model after every response.,"Close, but optimizers update weights during training, not after every normal response.",optimizer/weight update vs normal response,weight-update,same-card,Tempting because training and inference both involve model computation.
1,Before Morning,1.4,training,Training,3,v0279-training-q3,causal-consequence,1,v0279-training-q3-correct,true,Training changes reusable weights; inference uses temporary computation for the current run.,Good distinction. Durable parameters carry forward; inference-time states usually do not.,,,,
1,Before Morning,1.4,training,Training,3,v0279-training-q3,causal-consequence,2,v0279-training-q3-optimizer-inference,false,Inference is where the optimizer changes weights for future runs.,"Not quite. Optimizer-driven weight updates belong to training, not ordinary inference.",optimizer/weight update vs inference,weight-update,same-card,Tempting because both training and inference run model computations.
1,Before Morning,1.4,training,Training,3,v0279-training-q3,causal-consequence,3,v0279-training-q3-prompt-only,false,Training only changes the visible prompt text for one response.,"Close, but prompt changes are temporary input changes; training changes learned numbers.",prompt/context vs weights,prompt,nearby-stage,Tempting because prompt text clearly changes a response.
1,Before Morning,1.4,training,Training,3,v0279-training-q3,causal-consequence,4,v0279-training-q3-truth-guarantee,false,Training guarantees that every future answer will be true.,"This choice overclaims. Training can improve behavior, but it does not guarantee truth.",training improvement vs truth guarantee,probability,author-created misconception,Tempting because training sounds like making the model better.
1,Before Morning,1.4,training,Training,4,v0279-training-q4,model-trace,1,v0279-training-q4-correct,true,Example -> prediction -> loss -> weight update.,Insight strengthened. That is the weight-changing path.,,,,
1,Before Morning,1.4,training,Training,4,v0279-training-q4,model-trace,2,v0279-training-q4-generation-loop,false,Prompt -> response token -> append -> next response token.,"Close, but that sequence describes inference/generation, not training. That would be a durable learning or storage claim; this checkpoint is separating it from temporary context or runtime behavior.",training loop vs autoregressive generation,autoregression,nearby-stage,Tempting because this is the model’s generation loop.
1,Before Morning,1.4,training,Training,4,v0279-training-q4,model-trace,3,v0279-training-q4-search-context,false,Search -> outside passage -> current context -> answer.,That describes a search or retrieval step. It can add temporary context; it does not by itself update weights.,training vs retrieval/context,retrieval,author-created misconception,Tempting because outside text can improve an answer.
1,Before Morning,1.4,training,Training,4,v0279-training-q4,model-trace,4,v0279-training-q4-user-correction,false,User correction -> better answer -> permanent learning inside the same chat.,"Not quite. A correction can steer the current conversation, but durable learning requires a training process.",conversation steering vs durable training,training,same-card,Tempting because a correction can improve the current conversation.
1,Before Morning,1.5,pretraining,Pretraining,1,v0279-pretraining-q1,mechanism,1,v0279-pretraining-q1-correct,true,Repeated prediction loss on next-token targets changes weights over many training steps.,Good distinction. Pretraining scales the training loop across many examples.,,,,
1,Before Morning,1.5,pretraining,Pretraining,1,v0279-pretraining-q1,mechanism,2,v0279-pretraining-q1-live-chat,false,A user conversation at deployment permanently rewrites the model.,Not quite. Pretraining happens before normal use; an ordinary chat usually does not rewrite weights.,pretraining vs inference,inference,same-card,Tempting because the model can seem to adapt inside a chat.
1,Before Morning,1.5,pretraining,Pretraining,1,v0279-pretraining-q1,mechanism,3,v0279-pretraining-q1-written-rules,false,A human writes every rule the model will follow.,"Close, but pretraining is learned from examples, not a complete rulebook written by hand.",learned patterns vs symbolic rules,symbolic-ai,nearby-stage,Tempting because software often has hand-written rules.
1,Before Morning,1.5,pretraining,Pretraining,1,v0279-pretraining-q1,mechanism,4,v0279-pretraining-q1-perfect-copy,false,The model stores a perfect copy of every source document.,This choice reveals a common mix-up. Pretraining shapes weights; it is not perfect document storage.,pattern learning vs perfect source recall,training-data,same-card,Tempting because source data influences the model.
1,Before Morning,1.5,pretraining,Pretraining,2,v0279-pretraining-q2,boundary,1,v0279-pretraining-q2-correct,true,It shapes patterns in weights; it is not a searchable copy of every source.,Good distinction. Pretraining can shape broad ability without turning the model into a perfect source library.,,,,
1,Before Morning,1.5,pretraining,Pretraining,2,v0279-pretraining-q2,boundary,2,v0279-pretraining-q2-private-files,false,It gives the model direct access to every private file on demand.,Not quite. Training data exposure is not the same as access to every private file. That would be a durable learning or storage claim; this checkpoint is separating it from temporary context or runtime behavior.,training data vs universal file access,training-data,same-card,Tempting because broad training data can sound like broad access.
1,Before Morning,1.5,pretraining,Pretraining,2,v0279-pretraining-q2,boundary,3,v0279-pretraining-q2-search-context,false,It inserts the original source into every future prompt context.,"Close, but adding source text to context is different from pretraining. Pretraining changes weights before use.",pretraining vs retrieval/context,retrieval,author-created misconception,Tempting because source material can sometimes be added to a prompt.
1,Before Morning,1.5,pretraining,Pretraining,2,v0279-pretraining-q2,boundary,4,v0279-pretraining-q2-after-user-prompt,false,It happens only after a user asks a specific question.,Pretraining happens before deployment. The user prompt later uses the pretrained weights.,pretraining vs deployment-time inference,inference,same-card,Tempting because learners meet the model only during use.
1,Before Morning,1.5,pretraining,Pretraining,3,v0279-pretraining-q3,causal-consequence,1,v0279-pretraining-q3-correct,true,Weights shift so future prompts can activate useful language or code patterns.,Good distinction. Pretraining changes reusable model structure before later prompts arrive.,,,,
1,Before Morning,1.5,pretraining,Pretraining,3,v0279-pretraining-q3,causal-consequence,2,v0279-pretraining-q3-current-context,false,The model’s current chat context becomes permanently larger.,Not quite. Context is temporary input; pretraining changes reusable weights before later prompts arrive.,pretraining weights vs temporary context,context window,nearby-stage,Tempting because context also affects output.
1,Before Morning,1.5,pretraining,Pretraining,3,v0279-pretraining-q3,causal-consequence,3,v0279-pretraining-q3-interface,false,"Only the app’s buttons, labels, or interface change.","This describes product UI changes, not the model’s learned parameters. The tempting idea is nearby, but it does not match the boundary this checkpoint is testing.",model weights vs product interface,foundation-model,nearby-stage,Tempting because users meet models through apps.
1,Before Morning,1.5,pretraining,Pretraining,3,v0279-pretraining-q3,causal-consequence,4,v0279-pretraining-q3-safety-policy,false,Only a safety policy is added around the model.,"Close, but a policy can shape a product around the model; pretraining changes the model’s reusable weights.",pretraining vs product policy wrapper,policy,nearby-stage,Tempting because products often include safety behavior.
1,Before Morning,1.5,pretraining,Pretraining,4,v02712-pretraining-q4,boundary,1,v02712-pretraining-q4-correct,true,Past training shaped weights; source-like text is not proof of live search.,Good boundary. Pretraining can shape fact-like patterns without turning the model into a search engine.,,,,
1,Before Morning,1.5,pretraining,Pretraining,4,v02712-pretraining-q4,boundary,2,v02712-pretraining-q4-2-retrieval,false,The model must have used a live lookup tool during the prompt.,"Search is a system/tool action, not something pretraining proves. Search, retrieval, and evidence use are separate system steps, and they still need checking.",The model must have searched the web during the prompt.,retrieval,explicit-confusable,"Plausible because retrieval is nearby, but this choice preserves a misconception the card is designed to correct."
1,Before Morning,1.5,pretraining,Pretraining,4,v02712-pretraining-q4,boundary,3,v02712-pretraining-q4-3-memory,false,The model opened a stored copy of the original page.,"Pretraining does not make a perfect searchable library of every source. Search, retrieval, and evidence use are separate system steps, and they still need checking.",The model opened a stored copy of the original page.,memory,explicit-confusable,"Plausible because memory is nearby, but this choice preserves a misconception the card is designed to correct."
1,Before Morning,1.5,pretraining,Pretraining,4,v02712-pretraining-q4,boundary,4,v02712-pretraining-q4-4-truth,false,The model became certain because the text sounded factual.,"Fluent source-like text is not a truth guarantee. Search, retrieval, and evidence use are separate system steps, and they still need checking.",The model became certain because the text sounded factual.,truth,explicit-confusable,"Plausible because truth is nearby, but this choice preserves a misconception the card is designed to correct."
1,Before Morning,1.6,overfitting-generalization,Overfitting and Generalization,1,v0279-overfitting-generalization-q1,application,1,v0279-overfitting-generalization-q1-correct,true,Overfitting: the model fit training examples too narrowly to generalize well.,"Good diagnosis. Set-aside validation examples are saved for testing, not used to fit the model.",,,,
1,Before Morning,1.6,overfitting-generalization,Overfitting and Generalization,1,v0279-overfitting-generalization-q1,application,2,v0279-overfitting-generalization-q1-generalization,false,Generalization: the model is working well on unseen cases.,Not quite. Generalization means good performance on new examples; this scenario shows the opposite.,overfitting vs generalization,generalization,same-card,Tempting because both terms describe training performance.
1,Before Morning,1.6,overfitting-generalization,Overfitting and Generalization,1,v0279-overfitting-generalization-q1,application,3,v0279-overfitting-generalization-q1-better-training,false,Better training: the model has clearly learned the general rule.,"Not quite. If it fails on new validation examples, high training performance is not enough evidence of generalization.",training performance vs validation failure,training-data,same-card,Tempting because perfect training performance feels reassuring.
1,Before Morning,1.6,overfitting-generalization,Overfitting and Generalization,1,v0279-overfitting-generalization-q1,application,4,v0279-overfitting-generalization-q1-inference,false,Inference: the model is simply generating one token at a time.,"Close, but inference is normal model use; overfitting is a training/evaluation failure mode.",training/evaluation failure vs inference process,inference,nearby-stage,Tempting because all later model use involves inference.
1,Before Morning,1.6,overfitting-generalization,Overfitting and Generalization,2,v0279-overfitting-generalization-q2,human-use-judgment,1,v0279-overfitting-generalization-q2-correct,true,They are kept out of training so they can test whether learned patterns transfer.,"Insight strengthened. Set-aside validation examples are saved for testing, not used to fit the model.",,,,
1,Before Morning,1.6,overfitting-generalization,Overfitting and Generalization,2,v0279-overfitting-generalization-q2,human-use-judgment,2,v0279-overfitting-generalization-q2-extra-training,false,Validation data is just extra training data used to lower loss.,"Not quite. Validation examples are saved for testing, not used as extra examples to fit the model.",validation data vs training data,validation-data,same-card,Tempting because validation examples can look like more examples.
1,Before Morning,1.6,overfitting-generalization,Overfitting and Generalization,2,v0279-overfitting-generalization-q2,human-use-judgment,3,v0279-overfitting-generalization-q2-training-proves-all,false,Training examples alone prove the model will work everywhere.,This choice reveals the exact overfitting risk. Seen examples are not enough evidence.,training performance vs generalization,training-data,same-card,Tempting because high training accuracy feels reassuring.
1,Before Morning,1.6,overfitting-generalization,Overfitting and Generalization,2,v0279-overfitting-generalization-q2,human-use-judgment,4,v0279-overfitting-generalization-q2-loss-truth,false,A lower loss always proves every future answer is true.,"Close, but lower loss is not a truth guarantee, especially outside the tested examples.",loss/probability vs truth guarantee,loss,nearby-stage,Tempting because lower loss often signals improvement.
1,Before Morning,1.6,overfitting-generalization,Overfitting and Generalization,3,v0279-overfitting-generalization-q3,causal-consequence,1,v0279-overfitting-generalization-q3-correct,true,It may have fit the narrow examples too closely instead of learning a pattern that generalizes.,"Good distinction. Targeted training can help, but narrow training can also make behavior brittle.",,,,
1,Before Morning,1.6,overfitting-generalization,Overfitting and Generalization,3,v0279-overfitting-generalization-q3,causal-consequence,2,v0279-overfitting-generalization-q3-prompt-rewrite,false,The prompts permanently rewrote the model during inference.,"Not quite. The issue is training behavior, not prompts rewriting weights during inference.",prompt/context vs training weight changes,prompt,nearby-stage,Tempting because prompts can change output behavior.
1,Before Morning,1.6,overfitting-generalization,Overfitting and Generalization,3,v0279-overfitting-generalization-q3,causal-consequence,3,v0279-overfitting-generalization-q3-conscious-choice,false,The model learned the narrow template so well that broader prompts no longer matter.,"That gives the model too much mind. The issue is brittle transfer, not intention. The behavior can be shaped without giving the model human awareness, intent, or moral agency.",brittle transfer vs intention/conscious choice,llm,author-created misconception,Tempting because poor behavior can seem intentional.
1,Before Morning,1.6,overfitting-generalization,Overfitting and Generalization,3,v0279-overfitting-generalization-q3,causal-consequence,4,v0279-overfitting-generalization-q3-rules-always-better,false,Rule-based AI is always better than learned models.,"This overgeneralizes. The issue is narrow training behavior, not proof that rules always beat learned models.",overfitting diagnosis vs symbolic superiority claim,symbolic-ai,nearby-stage,Tempting because brittleness can make rules feel safer.
1,Before Morning,1.7,fine-tuning,Fine-Tuning,1,v02712-fine-tuning-q1,application,1,v02712-fine-tuning-q1-correct,true,Run additional training that changes weights or adapter behavior for later responses.,Insight strengthened. Fine-tuning is durable adaptation for future inference runs.,,,,
1,Before Morning,1.7,fine-tuning,Fine-Tuning,1,v02712-fine-tuning-q1,application,2,v02712-fine-tuning-q1-2-prompt,false,Paste the norms into one user prompt.,"A prompt can steer the current run, but it is not durable training. That would be a durable learning or storage claim; this checkpoint is separating it from temporary context or runtime behavior.",Paste the norms into one user prompt.,prompt,explicit-confusable,"Plausible because prompt is nearby, but this choice preserves a misconception the card is designed to correct."
1,Before Morning,1.7,fine-tuning,Fine-Tuning,1,v02712-fine-tuning-q1,application,3,v02712-fine-tuning-q1-3-rag,false,Retrieve a policy page into the current context.,Retrieval adds temporary evidence; it does not by itself fine-tune weights. That would be a durable learning or storage claim; this checkpoint is separating it from temporary context or runtime behavior.,Retrieve a policy page into the current context.,RAG,explicit-confusable,"Plausible because RAG is nearby, but this choice preserves a misconception the card is designed to correct."
1,Before Morning,1.7,fine-tuning,Fine-Tuning,1,v02712-fine-tuning-q1,application,4,v02712-fine-tuning-q1-4-sampling,false,Sample from a lower-temperature distribution.,"Sampling changes a generation-time choice, not the model pattern carried forward. That swaps this mechanism with a nearby model step; keep the stage boundary clear.",Sample from a lower-temperature distribution.,sampling,explicit-confusable,"Plausible because sampling is nearby, but this choice preserves a misconception the card is designed to correct."
1,Before Morning,1.7,fine-tuning,Fine-Tuning,2,v02710-fine-tuning-q2,application,1,v02710-fine-tuning-q2-correct,true,Adapted weights or adapter behavior can carry the pattern into later inference runs.,"Insight strengthened. Fine-tuning makes a reusable model change, not just a one-chat hint.",,,,
1,Before Morning,1.7,fine-tuning,Fine-Tuning,2,v02710-fine-tuning-q2,application,2,v02710-fine-tuning-q2-context-only,false,Only the current context window got larger.,Not quite. A larger context window is temporary input space; fine-tuning changes reusable behavior.,context window vs fine-tuned behavior,context window,nearby-stage,Tempting because context can also carry institution-specific text.
1,Before Morning,1.7,fine-tuning,Fine-Tuning,2,v02710-fine-tuning-q2,application,3,v02710-fine-tuning-q2-memory,false,The model became conscious of the institution’s norms.,That gives the model too much mind. The behavior can be shaped without conscious commitment to norms.,mind/metaphor overreach,alignment,explicit-confusable,Tempting because the assistant may sound norm-aware.
1,Before Morning,1.7,fine-tuning,Fine-Tuning,2,v02710-fine-tuning-q2,application,4,v02710-fine-tuning-q2-rag-search,false,The model must search the institution’s files every time.,"Close, but fine-tuning and retrieval are different. Retrieval may be added, but fine-tuned behavior can persist in weights or adapters.",retrieval vs fine-tuning,retrieval,same-stage,Tempting because many institutional assistants also use search.
1,Before Morning,1.7,fine-tuning,Fine-Tuning,3,v02710-fine-tuning-q3,causal-consequence,1,v02710-fine-tuning-q3-correct,true,Training can make instruction-following patterns more likely later.,Good distinction. Fine-tuning can support alignment by durably shaping output patterns.,,,,
1,Before Morning,1.7,fine-tuning,Fine-Tuning,3,v02710-fine-tuning-q3,causal-consequence,2,v02710-fine-tuning-q3-perfect-safety,false,"Future answers will tend to be safer, so evaluation is no longer needed.","Not quite. Fine-tuning can improve behavior, but it does not guarantee truth or safety.",alignment/fine-tuning as guarantee,alignment,nearby-stage,Tempting because alignment sounds like solving behavior.
1,Before Morning,1.7,fine-tuning,Fine-Tuning,3,v02710-fine-tuning-q3,causal-consequence,3,v02710-fine-tuning-q3-system-prompt-only,false,Only the visible system prompt changed for one session.,"Close, but a system prompt steers the current run. Fine-tuning is durable training. That would be a durable learning or storage claim; this checkpoint is separating it from temporary context or runtime behavior.",runtime steering vs durable training,system prompt,same-card,Tempting because system prompts can steer behavior strongly.
