repair_id,priority,question_id,status,issue_flags,notes
R025,high,v02710-inference-q4,wrong-feedback-revised,possible_correct_answer_length_bias,v02710-inference-q4-auto-learn: Not quite. Durable skill changes require training or another model-update process. That would be a durable learning or storage claim; this checkpoint is separating it from temporary context or runtime behavior.
R025,high,v02710-inference-q4,wrong-feedback-revised,possible_correct_answer_length_bias,"v02710-inference-q4-no-context: Close, but fixed weights can still respond differently to different current contexts. That would be a durable learning or storage claim; this checkpoint is separating it from temporary context or runtime behavior."
R026,high,v02710-prompt-response-q1,wrong-feedback-revised,possible_correct_answer_length_bias,v02710-prompt-response-q1-all-user: Not quite. The user provides the prompt; the model generates response tokens. Prompt and context can steer a current run without automatically becoming durable learning.
R026,high,v02710-prompt-response-q1,wrong-feedback-revised,possible_correct_answer_length_bias,"v02710-prompt-response-q1-all-at-once: Close, but the model generates response tokens step by step. Prompt and context can steer a current run without automatically becoming durable learning."
R027,high,v02710-prompt-response-q2,wrong-feedback-revised,possible_correct_answer_length_bias,"v02710-prompt-response-q2-weight-memory: Close, but using a token later in the run is context, not a weight update. That would be a durable learning or storage claim; this checkpoint is separating it from temporary context or runtime behavior."
R028,high,v02710-prompt-response-q3,wrong-feedback-revised,possible_correct_answer_length_bias,"v02710-prompt-response-q3-conscious: That gives the model too much mind. Better output can come from better context. The behavior can be shaped without giving the model human awareness, intent, or moral agency."
R029,high,v02710-tokens-q1,wrong-feedback-revised,possible_correct_answer_length_bias,"v02710-tokens-q1-whole-word: Not quite. Tokenizers can split words, punctuation, spaces, or other chunks. That swaps this mechanism with a nearby model step; keep the stage boundary clear."
R029,high,v02710-tokens-q1,wrong-feedback-revised,possible_correct_answer_length_bias,"v02710-tokens-q1-concept: Close, but token boundaries do not perfectly match human concepts or meanings. That swaps this mechanism with a nearby model step; keep the stage boundary clear."
UNFLAGGED,review,v02710-tokens-q2,wrong-feedback-revised,,"v02710-tokens-q2-raw-english: Not quite. The model needs numerical representations, starting with tokens and IDs. That swaps this mechanism with a nearby model step; keep the stage boundary clear."
UNFLAGGED,review,v02710-tokens-q2,wrong-feedback-revised,,"v02710-tokens-q2-weights-first: Close, but tokenization prepares the input; it does not rewrite weights. That would be a durable learning or storage claim; this checkpoint is separating it from temporary context or runtime behavior."
UNFLAGGED,review,v02710-tokens-q3,wrong-feedback-revised,,v02710-tokens-q3-prompt-only: Not quite. Generated response tokens are token IDs before being displayed as text. That swaps this mechanism with a nearby model step; keep the stage boundary clear.
UNFLAGGED,review,v02710-tokens-q3,wrong-feedback-revised,,"v02710-tokens-q3-response-only: Close, but prompts also need token representation before model processing. That swaps this mechanism with a nearby model step; keep the stage boundary clear."
R030,high,v02710-token-ids-q2,wrong-feedback-revised,possible_correct_answer_length_bias,"v02710-token-ids-q2-truth: Not quite. Token IDs do not guarantee factual output. Probability, permission, fluency, or confidence is not the same as truth."
R031,high,v02710-token-ids-q3,wrong-feedback-revised,possible_correct_answer_length_bias,v02710-token-ids-q3-weight-update: Not quite. The chosen token can affect the next context without changing weights. That would be a durable learning or storage claim; this checkpoint is separating it from temporary context or runtime behavior.
R031,high,v02710-token-ids-q3,wrong-feedback-revised,possible_correct_answer_length_bias,"v02710-token-ids-q3-raw-word: Close, but the model works with token IDs before text is displayed. That swaps this mechanism with a nearby model step; keep the stage boundary clear."
UNFLAGGED,review,v02712-embeddings-q1,wrong-feedback-revised,,"v02712-embeddings-q1-2-hidden-state: That describes a later context-shaped vector, not the starting lookup. Search, retrieval, and evidence use are separate system steps, and they still need checking."
UNFLAGGED,review,v02712-embeddings-q1,wrong-feedback-revised,,"v02712-embeddings-q1-3-token-id: The ID is a lookup key, not the vector returned by the table. Search, retrieval, and evidence use are separate system steps, and they still need checking."
UNFLAGGED,review,v02712-embeddings-q1,wrong-feedback-revised,,"v02712-embeddings-q1-4-definition: Embeddings are numerical vectors, not text definitions. The tempting idea is nearby, but it does not match the boundary this checkpoint is testing."
R032,high,v02712-embeddings-q2,question-stem-revised,premature_jargon:hidden state,Stem revised to stand alone and name the mechanism: The same token starts with one embedding but appears in two different sentences. What can make its later internal vector differ during inference?
R032,high,v02712-embeddings-q2,wrong-feedback-revised,premature_jargon:hidden state,v02712-embeddings-q2-2-weight-update: Ordinary inference usually uses fixed learned weights. That would be a durable learning or storage claim; this checkpoint is separating it from temporary context or runtime behavior.
R032,high,v02712-embeddings-q2,wrong-feedback-revised,premature_jargon:hidden state,"v02712-embeddings-q2-3-token-id: The ID remains a lookup key; later vectors carry contextual information. Search, retrieval, and evidence use are separate system steps, and they still need checking."
R032,high,v02712-embeddings-q2,wrong-feedback-revised,premature_jargon:hidden state,v02712-embeddings-q2-4-memory: Temporary hidden states are not permanent memories. That would be a durable learning or storage claim; this checkpoint is separating it from temporary context or runtime behavior.
UNFLAGGED,review,v02712-vectors-q1,wrong-feedback-revised,,"v02712-vectors-q1-2-token-id: That describes a token ID, not a vector of many values. The behavior can be shaped without giving the model human awareness, intent, or moral agency."
UNFLAGGED,review,v02712-vectors-q1,wrong-feedback-revised,,v02712-vectors-q1-3-tensor: That is closer to a tensor; a vector is one-dimensional. That swaps this mechanism with a nearby model step; keep the stage boundary clear.
UNFLAGGED,review,v02712-vectors-q1,wrong-feedback-revised,,"v02712-vectors-q1-4-token: Visible text is converted before the model computes with vectors. The tempting idea is nearby, but it does not match the boundary this checkpoint is testing."
R033,high,v02712-vectors-q2,wrong-feedback-revised,possible_correct_answer_length_bias; thin_wrong_feedback,"v02712-vectors-q2-2-feature: That makes distributed features too literal. The tempting idea is nearby, but it does not match the boundary this checkpoint is testing."
R033,high,v02712-vectors-q2,wrong-feedback-revised,possible_correct_answer_length_bias; thin_wrong_feedback,v02712-vectors-q2-3-memory: A vector representation is not a stored conversation. That would be a durable learning or storage claim; this checkpoint is separating it from temporary context or runtime behavior.
R033,high,v02712-vectors-q2,wrong-feedback-revised,possible_correct_answer_length_bias; thin_wrong_feedback,"v02712-vectors-q2-4-citation: Vectors do not carry source citations by themselves. Search, retrieval, and evidence use are separate system steps, and they still need checking."
R034,high,v02712-vectors-q3,question-stem-revised,possible_correct_answer_length_bias; premature_jargon:hidden state,Stem revised to stand alone and name the mechanism: An embedding row and a later internal state can both be vectors. Which boundary matters?
R034,high,v02712-vectors-q3,wrong-feedback-revised,possible_correct_answer_length_bias; premature_jargon:hidden state,"v02712-vectors-q3-2-memory: Conversation memory is a different product feature, not what these vectors are. That would be a durable learning or storage claim; this checkpoint is separating it from temporary context or runtime behavior."
R034,high,v02712-vectors-q3,wrong-feedback-revised,possible_correct_answer_length_bias; premature_jargon:hidden state,"v02712-vectors-q3-3-token-id: A token ID is a scalar lookup key, not the vector itself. Search, retrieval, and evidence use are separate system steps, and they still need checking."
R034,high,v02712-vectors-q3,wrong-feedback-revised,possible_correct_answer_length_bias; premature_jargon:hidden state,"v02712-vectors-q3-4-response-token: Visible text is the display side, not the internal vector state. That swaps this mechanism with a nearby model step; keep the stage boundary clear."
R035,high,v02712-tensors-q1,wrong-feedback-revised,possible_correct_answer_length_bias,"v02712-tensors-q1-2-token-id: A token ID is a lookup key, not a shaped numerical block. Search, retrieval, and evidence use are separate system steps, and they still need checking."
R035,high,v02712-tensors-q1,wrong-feedback-revised,possible_correct_answer_length_bias,"v02712-tensors-q1-3-rule-based-ai: A tensor is data the model computes over, not an if-then rule. That swaps this mechanism with a nearby model step; keep the stage boundary clear."
R036,high,v02712-tensors-q2,wrong-feedback-revised,possible_correct_answer_length_bias; thin_wrong_feedback,v02712-tensors-q2-2-activation: That ignores learned parameter tensors. That swaps this mechanism with a nearby model step; keep the stage boundary clear.
R036,high,v02712-tensors-q2,wrong-feedback-revised,possible_correct_answer_length_bias; thin_wrong_feedback,v02712-tensors-q2-3-memory: That ignores temporary activation tensors. That would be a durable learning or storage claim; this checkpoint is separating it from temporary context or runtime behavior.
R036,high,v02712-tensors-q2,wrong-feedback-revised,possible_correct_answer_length_bias; thin_wrong_feedback,"v02712-tensors-q2-4-token: The model uses numerical arrays, not visible text tables. The tempting idea is nearby, but it does not match the boundary this checkpoint is testing."
UNFLAGGED,review,v02712-attention-q1,wrong-feedback-revised,,"v02712-attention-q1-2-awareness: Attention here is a calculation, not human attention. The behavior can be shaped without giving the model human awareness, intent, or moral agency."
UNFLAGGED,review,v02712-attention-q1,wrong-feedback-revised,,v02712-attention-q1-3-sampling: Sampling happens later after scores become probabilities. That swaps this mechanism with a nearby model step; keep the stage boundary clear.
UNFLAGGED,review,v02712-attention-q1,wrong-feedback-revised,,v02712-attention-q1-4-weight-update: The attention pattern is temporary during inference. That would be a durable learning or storage claim; this checkpoint is separating it from temporary context or runtime behavior.
R037,high,v02712-attention-q2,wrong-feedback-revised,possible_correct_answer_length_bias,v02712-attention-q2-2-memory: Temporary relevance patterns are not saved memory. That would be a durable learning or storage claim; this checkpoint is separating it from temporary context or runtime behavior.
R037,high,v02712-attention-q2,wrong-feedback-revised,possible_correct_answer_length_bias,v02712-attention-q2-3-retrieval: Retrieval can add text to context; attention works inside the model over positions. That swaps this mechanism with a nearby model step; keep the stage boundary clear.
R037,high,v02712-attention-q2,wrong-feedback-revised,possible_correct_answer_length_bias,v02712-attention-q2-4-hidden-state: Attention helps shape hidden states rather than replacing them. That swaps this mechanism with a nearby model step; keep the stage boundary clear.
UNFLAGGED,review,v02712-attention-q3,wrong-feedback-revised,,v02712-attention-q3-2-mlp: That swaps the roles and adds retrieval where it does not belong. That swaps this mechanism with a nearby model step; keep the stage boundary clear.
UNFLAGGED,review,v02712-attention-q3,wrong-feedback-revised,,v02712-attention-q3-3-sampling: Next-token choice and softmax happen later in the Decision Room. That swaps this mechanism with a nearby model step; keep the stage boundary clear.
UNFLAGGED,review,v02712-attention-q3,wrong-feedback-revised,,"v02712-attention-q3-4-awareness: Both are computations, not mental or moral faculties. The behavior can be shaped without giving the model human awareness, intent, or moral agency."
R038,high,v02712-attention-q4,wrong-feedback-revised,possible_correct_answer_length_bias; thin_wrong_feedback,"v02712-attention-q4-2-tokenization: Tokenization happens before vectors and layers. The tempting idea is nearby, but it does not match the boundary this checkpoint is testing."
R038,high,v02712-attention-q4,wrong-feedback-revised,possible_correct_answer_length_bias; thin_wrong_feedback,v02712-attention-q4-3-memory: Attention is not post-response storage. That swaps this mechanism with a nearby model step; keep the stage boundary clear.
R038,high,v02712-attention-q4,wrong-feedback-revised,possible_correct_answer_length_bias; thin_wrong_feedback,"v02712-attention-q4-4-rag: That describes retrieval, not attention inside layers. Search, retrieval, and evidence use are separate system steps, and they still need checking."
UNFLAGGED,review,v02712-mlp-q1,wrong-feedback-revised,,v02712-mlp-q1-2-attention: Attention mainly handles relevance across positions. That swaps this mechanism with a nearby model step; keep the stage boundary clear.
UNFLAGGED,review,v02712-mlp-q1,wrong-feedback-revised,,v02712-mlp-q1-3-sampling: Sampling chooses a token later; it does not reshape layer features. That swaps this mechanism with a nearby model step; keep the stage boundary clear.
UNFLAGGED,review,v02712-mlp-q1,wrong-feedback-revised,,"v02712-mlp-q1-4-retrieval: Retrieval is an outside-system step, not the MLP operation. That swaps this mechanism with a nearby model step; keep the stage boundary clear."
R039,high,v02712-mlp-q2,wrong-feedback-revised,possible_correct_answer_length_bias; thin_wrong_feedback,v02712-mlp-q2-2-weight-update: Ordinary inference does not turn activations into weight updates. That would be a durable learning or storage claim; this checkpoint is separating it from temporary context or runtime behavior.
R039,high,v02712-mlp-q2,wrong-feedback-revised,possible_correct_answer_length_bias; thin_wrong_feedback,v02712-mlp-q2-3-parameter: The MLP uses learned weights even during inference. That would be a durable learning or storage claim; this checkpoint is separating it from temporary context or runtime behavior.
R039,high,v02712-mlp-q2,wrong-feedback-revised,possible_correct_answer_length_bias; thin_wrong_feedback,v02712-mlp-q2-4-memory: Temporary activations are not user memory. That would be a durable learning or storage claim; this checkpoint is separating it from temporary context or runtime behavior.
UNFLAGGED,review,v02712-mlp-q3,wrong-feedback-revised,,v02712-mlp-q3-2-softmax: Softmax converts scores to probabilities later. That swaps this mechanism with a nearby model step; keep the stage boundary clear.
UNFLAGGED,review,v02712-mlp-q3,wrong-feedback-revised,,"v02712-mlp-q3-3-token-id: IDs are lookup numbers, not cross-position relevance. Search, retrieval, and evidence use are separate system steps, and they still need checking."
UNFLAGGED,review,v02712-mlp-q3,wrong-feedback-revised,,v02712-mlp-q3-4-fine-tuning: Fine-tuning is training; this is an inference-time operation. That would be a durable learning or storage claim; this checkpoint is separating it from temporary context or runtime behavior.
UNFLAGGED,review,v02712-layers-q1,wrong-feedback-revised,,v02712-layers-q1-2-training-data: The dataset is not being edited during inference. That would be a durable learning or storage claim; this checkpoint is separating it from temporary context or runtime behavior.
UNFLAGGED,review,v02712-layers-q1,wrong-feedback-revised,,"v02712-layers-q1-3-interface: The UI may wrap the model, but layers are internal model operations. The tempting idea is nearby, but it does not match the boundary this checkpoint is testing."
UNFLAGGED,review,v02712-layers-q1,wrong-feedback-revised,,v02712-layers-q1-4-memory: Hidden states are temporary unless another system stores information separately. That would be a durable learning or storage claim; this checkpoint is separating it from temporary context or runtime behavior.
R040,high,v02712-layers-q2,wrong-feedback-revised,possible_correct_answer_length_bias,v02712-layers-q2-2-weight-update: Activations during inference usually do not update weights. That would be a durable learning or storage claim; this checkpoint is separating it from temporary context or runtime behavior.
R040,high,v02712-layers-q2,wrong-feedback-revised,possible_correct_answer_length_bias,v02712-layers-q2-3-parameter: Learned parameters are reused in future runs. That would be a durable learning or storage claim; this checkpoint is separating it from temporary context or runtime behavior.
R040,high,v02712-layers-q2,wrong-feedback-revised,possible_correct_answer_length_bias,"v02712-layers-q2-4-response: Layers are internal computations, not the displayed response. The tempting idea is nearby, but it does not match the boundary this checkpoint is testing."
R041,high,v02712-layers-q3,wrong-feedback-revised,possible_correct_answer_length_bias,"v02712-layers-q3-2-consciousness: That adds minds where there are computations. The behavior can be shaped without giving the model human awareness, intent, or moral agency."
R041,high,v02712-layers-q3,wrong-feedback-revised,possible_correct_answer_length_bias,"v02712-layers-q3-3-retrieval: Retrieval is outside the layer stack unless a system adds it. Search, retrieval, and evidence use are separate system steps, and they still need checking."
R041,high,v02712-layers-q3,wrong-feedback-revised,possible_correct_answer_length_bias,"v02712-layers-q3-4-alignment: Policy behavior is not the same as each layer being a moral rule. The behavior can be shaped without giving the model human awareness, intent, or moral agency."
R042,high,v02712-layers-q4,wrong-feedback-revised,possible_correct_answer_length_bias,v02712-layers-q4-2-sampling: Sampling happens after the layer stack produces next-token scores. That swaps this mechanism with a nearby model step; keep the stage boundary clear.
R042,high,v02712-layers-q4,wrong-feedback-revised,possible_correct_answer_length_bias,v02712-layers-q4-3-rag: Retrieval indexes are outside the transformer layer operations. That swaps this mechanism with a nearby model step; keep the stage boundary clear.
R042,high,v02712-layers-q4,wrong-feedback-revised,possible_correct_answer_length_bias,v02712-layers-q4-4-training: Training updates weights; ordinary layer flow does not. That would be a durable learning or storage claim; this checkpoint is separating it from temporary context or runtime behavior.
R043,high,v02712-hidden-states-q1,wrong-feedback-revised,possible_correct_answer_length_bias,v02712-hidden-states-q1-2-token-id: The token ID is a lookup key; hidden states carry contextual information. That would be a durable learning or storage claim; this checkpoint is separating it from temporary context or runtime behavior.
R043,high,v02712-hidden-states-q1,wrong-feedback-revised,possible_correct_answer_length_bias,"v02712-hidden-states-q1-3-memory: Temporary hidden states are not saved memories by themselves. The tempting idea is nearby, but it does not match the boundary this checkpoint is testing."
R043,high,v02712-hidden-states-q1,wrong-feedback-revised,possible_correct_answer_length_bias,v02712-hidden-states-q1-4-tokenization: Tokenization happens before embeddings and layers. That swaps this mechanism with a nearby model step; keep the stage boundary clear.
R044,high,v02712-hidden-states-q2,question-stem-revised,generic_stem_needs_mechanism; possible_correct_answer_length_bias; thin_wrong_feedback,"Stem revised to stand alone and name the mechanism: A learner hears ""hidden state"" and imagines secret English thoughts. What does ""hidden"" actually mean here?"
R044,high,v02712-hidden-states-q2,wrong-feedback-revised,generic_stem_needs_mechanism; possible_correct_answer_length_bias; thin_wrong_feedback,"v02712-hidden-states-q2-2-thought: Hidden states are numbers, not encrypted inner speech. The tempting idea is nearby, but it does not match the boundary this checkpoint is testing."
R044,high,v02712-hidden-states-q2,wrong-feedback-revised,generic_stem_needs_mechanism; possible_correct_answer_length_bias; thin_wrong_feedback,"v02712-hidden-states-q2-3-source: A hidden state is not a stored document. Search, retrieval, and evidence use are separate system steps, and they still need checking."
R044,high,v02712-hidden-states-q2,wrong-feedback-revised,generic_stem_needs_mechanism; possible_correct_answer_length_bias; thin_wrong_feedback,"v02712-hidden-states-q2-4-guardrail: Policy filters are product controls, not internal hidden states. The tempting idea is nearby, but it does not match the boundary this checkpoint is testing."
UNFLAGGED,review,v02712-hidden-states-q3,wrong-feedback-revised,,"v02712-hidden-states-q3-2-weight-update: That would be training, not ordinary inference. That would be a durable learning or storage claim; this checkpoint is separating it from temporary context or runtime behavior."
UNFLAGGED,review,v02712-hidden-states-q3,wrong-feedback-revised,,"v02712-hidden-states-q3-3-memory: A product may store memory separately, but hidden states are temporary. That would be a durable learning or storage claim; this checkpoint is separating it from temporary context or runtime behavior."
UNFLAGGED,review,v02712-hidden-states-q3,wrong-feedback-revised,,v02712-hidden-states-q3-4-training-data: Training data is not the current hidden state. That would be a durable learning or storage claim; this checkpoint is separating it from temporary context or runtime behavior.
R045,high,v02712-hidden-states-q4,wrong-feedback-revised,possible_correct_answer_length_bias; premature_jargon:logits,"v02712-hidden-states-q4-2-token-id: Token IDs come before embedding lookup and hidden states. Search, retrieval, and evidence use are separate system steps, and they still need checking."
R045,high,v02712-hidden-states-q4,wrong-feedback-revised,possible_correct_answer_length_bias; premature_jargon:logits,"v02712-hidden-states-q4-3-citation: Citations are generated text or retrieved/source metadata, not hidden states. Search, retrieval, and evidence use are separate system steps, and they still need checking."
R045,high,v02712-hidden-states-q4,wrong-feedback-revised,possible_correct_answer_length_bias; premature_jargon:logits,v02712-hidden-states-q4-4-context-window: They do not bypass context limits or become permanent memory. That would be a durable learning or storage claim; this checkpoint is separating it from temporary context or runtime behavior.
UNFLAGGED,review,v02712-logits-q1,wrong-feedback-revised,,"v02712-logits-q1-2-softmax: That describes the output after softmax, not logits. That swaps this mechanism with a nearby model step; keep the stage boundary clear."
UNFLAGGED,review,v02712-logits-q1,wrong-feedback-revised,,"v02712-logits-q1-3-truth: Logits score token likelihood under context, not truth. Probability, permission, fluency, or confidence is not the same as truth."
UNFLAGGED,review,v02712-logits-q1,wrong-feedback-revised,,v02712-logits-q1-4-embedding: Embeddings happen earlier; logits are near the next-token decision. That swaps this mechanism with a nearby model step; keep the stage boundary clear.
R046,medium,v02712-logits-q2,wrong-feedback-revised,thin_wrong_feedback,"v02712-logits-q2-2-truth: Likelihood under context is not fact verification. Probability, permission, fluency, or confidence is not the same as truth."
R046,medium,v02712-logits-q2,wrong-feedback-revised,thin_wrong_feedback,"v02712-logits-q2-3-rag: Logits do not prove retrieval happened. Search, retrieval, and evidence use are separate system steps, and they still need checking."
R046,medium,v02712-logits-q2,wrong-feedback-revised,thin_wrong_feedback,v02712-logits-q2-4-weight-update: A temporary score is not durable learning. That would be a durable learning or storage claim; this checkpoint is separating it from temporary context or runtime behavior.
UNFLAGGED,review,v02712-logits-q3,wrong-feedback-revised,,"v02712-logits-q3-2-tokenization: Tokenization happens at the input/output text boundary, not after logits. The tempting idea is nearby, but it does not match the boundary this checkpoint is testing."
UNFLAGGED,review,v02712-logits-q3,wrong-feedback-revised,,"v02712-logits-q3-3-fine-tuning: Fine-tuning is training, not a normal generation step. That would be a durable learning or storage claim; this checkpoint is separating it from temporary context or runtime behavior."
